Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.18819E-11,0.000000002,0.000000015,0.999902153,0,0
1.78461E-11,0.000000004,0.000000023,0.999804305,0,0
2.32077E-11,0.00000001,0.00000003,0.999510763,0,0
2.75565E-11,0.000000025,0.000000036,0.998923679,0,0
4.28222E-11,0.000000102,0.000000056,0.996868885,0,0
7.98557E-11,0.000000257,0.000000104,0.994422701,0,0
4.82484E-10,0.000001022,0.000000625,0.990508806,0,0
8.82923E-10,0.000002587,0.000001145,0.988258317,0,0
3.23348E-9,0.000010194,0.000004192,0.984637965,0,0
4.30194E-9,0.000025201,0.000005577,0.980821918,0,0
5.39488E-9,0.00005024,0.000006993,0.975831703,0,0
7.0253E-9,0.000100096,0.000009107,0.967906067,0,0
9.68562E-9,0.000250523,0.000012556,0.950489237,0,0
1.26647E-8,0.000501171,0.000016417,0.928571429,0,0
1.74016E-8,0.001000911,0.000022558,0.896183953,0,0
3.09359E-8,0.00250251,0.000040102,0.833365949,0,0
4.58695E-8,0.00500324,0.00005946,0.770058708,0,0
7.63567E-8,0.010006707,0.000098977,0.688356164,0,0
1.84734E-7,0.025007517,0.000239445,0.562133072,0,0
5.16584E-7,0.050028279,0.000669432,0.485322896,0,0
1.18755E-6,0.100062797,0.00153825,0.423776908,0,0.010638298
2.86633E-6,0.20003361,0.00370877,0.371917808,0,0.010638298
4.74971E-6,0.300434254,0.006138212,0.345205479,0,0.010638298
6.4615E-6,0.400342185,0.008341166,0.327886497,0,0.010638298
7.94875E-6,0.500547835,0.010251188,0.31409002,0,0.010638298
9.53998E-6,0.600035854,0.012290669,0.302935421,0,0.010638298
1.08656E-5,0.700269069,0.013986464,0.293248532,0,0.010638298
1.15382E-5,0.750661306,0.014845813,0.288845401,0,0.010638298
1.24993E-5,0.801119446,0.016072485,0.284735812,0,0.010638298
1.4247E-5,0.90045597,0.018299135,0.277495108,0,0.010638298
1.57578E-5,1.000110073,0.020219866,0.271037182,0,0.010638298
1.72947E-5,1.100750282,0.022169887,0.265068493,0,0.010638298
1.86629E-5,1.201513404,0.023902725,0.259589041,0,0.010638298
1.99005E-5,1.300113899,0.025467388,0.254598826,0.009090909,0.010638298
2.11108E-5,1.400234671,0.02699515,0.249804305,0.009090909,0.010638298
2.26652E-5,1.500584943,0.028953846,0.245303327,0.009090909,0.010638298
2.68142E-5,1.752157371,0.034162503,0.235322896,0.009090909,0.010638298
3.11368E-5,2.002286406,0.039559318,0.226810176,0.009090909,0.010638298
3.57655E-5,2.250133019,0.045304982,0.219471624,0.009090909,0.010638298
4.02909E-5,2.503346311,0.050889182,0.212915851,0.009090909,0.010638298
4.6433E-5,2.754305388,0.058416133,0.207240705,0.009090909,0.010638298
5.33887E-5,3.003281329,0.066867972,0.202348337,0.009090909,0.010638298
5.87342E-5,3.250597681,0.073311791,0.198043053,0.009090909,0.010638298
6.3506E-5,3.501386823,0.079026305,0.194031311,0.013636364,0.010638298
7.02131E-5,3.750061163,0.086999028,0.190410959,0.013636364,0.010638298
7.46468E-5,4.004260942,0.09223141,0.186986301,0.013636364,0.021276596
7.8526E-5,4.257235799,0.096784825,0.183757339,0.018181818,0.021276596
8.27956E-5,4.507239301,0.101770075,0.18072407,0.018181818,0.021276596
8.65506E-5,4.752905671,0.106131812,0.177886497,0.018181818,0.021276596
8.84426E-5,5.006740215,0.108321398,0.175048924,0.018181818,0.031914894
9.19276E-5,5.25076742,0.112340578,0.172407045,0.018181818,0.031914894
9.62461E-5,5.504643793,0.117295965,0.169765166,0.018181818,0.031914894
9.95003E-5,5.758323235,0.121011815,0.167221135,0.018181818,0.042553191
1.03984E-4,6.002123773,0.126106466,0.164872798,0.018181818,0.042553191
1.09071E-4,6.259149876,0.131849822,0.162524462,0.018181818,0.053191489
1.12295E-4,6.502502421,0.13547093,0.16037182,0.022727273,0.053191489
1.15755E-4,6.75304722,0.139339385,0.158219178,0.022727273,0.053191489
1.19212E-4,7.011841212,0.143187722,0.156066536,0.022727273,0.063829787
1.21854E-4,7.2530572,0.146117127,0.154109589,0.027272727,0.063829787
1.26584E-4,7.501779241,0.151336594,0.152152642,0.027272727,0.063829787
1.29149E-4,7.757688909,0.154153966,0.150195695,0.027272727,0.063829787
1.32113E-4,8.006803072,0.157397799,0.148336595,0.027272727,0.063829787
1.34512E-4,8.260277453,0.160013925,0.146477495,0.027272727,0.063829787
1.37719E-4,8.505556825,0.163498582,0.144716243,0.027272727,0.063829787
1.4231E-4,8.757095947,0.168461875,0.14295499,0.027272727,0.063829787
1.47153E-4,9.002997452,0.173666191,0.141291585,0.027272727,0.063829787
1.54639E-4,9.259973598,0.18164637,0.13962818,0.027272727,0.063829787
