X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,7.22373015905514E-4,53.017570443138325,0.6079725517813599
3.0,3.0,train,9.615528657803246E-4,57.78211432252616,0.7124837777053497
4.0,4.0,train,0.0010075583993407438,59.03401355706465,0.729129298044739
5.0,5.0,train,8.849975029285755E-4,56.39709736534486,0.6824868622149564
6.0,6.0,train,0.0013588608645121007,63.654040054313704,0.8282151672809279
9.0,9.0,train,0.001440549416261127,65.3322280319847,0.8454761310644929
10.0,10.0,train,0.0012665462180300045,62.5852576562542,0.8063772576232909
11.0,11.0,train,0.0013948901236562658,64.32124710776552,0.8360539467865422
12.0,12.0,train,0.0011823132752717424,61.00506783971281,0.784037643306862
13.0,13.0,train,0.0013469204612991924,63.38231013903863,0.8255355052829222
14.0,14.0,train,0.0012477838793813639,62.33522448092843,0.8016102457822925
15.0,15.0,train,0.0012281594790148414,62.08746799670464,0.7964985829787427
16.0,16.0,train,0.0014529690214856819,65.51737884100469,0.8479440040053554
17.0,17.0,train,0.0014003812397663116,64.62305420282239,0.8372168071315281
18.0,18.0,train,0.0014600888989325794,65.62352323909124,0.8493409646735888
20.0,20.0,train,0.0014855594422093943,65.77209234463879,0.8542341778068698
21.0,21.0,train,0.001520544997080888,66.24453101000552,0.8606973289623518
22.0,22.0,train,0.001618996805501356,67.64445292408011,0.8773880563157421
23.0,23.0,train,0.0016190177677730048,67.64478761905555,0.8773913880931088
24.0,24.0,train,0.0016440329932009819,68.13720223800941,0.8813035210630693
25.0,25.0,train,0.0016404772228612598,67.90144233099849,0.8807551385535111
26.0,26.0,train,0.0015987431644301387,67.3210723280044,0.874126233714343
27.0,27.0,train,0.001881195649996328,69.11448554313509,0.912719071274331
30.0,30.0,train,0.0019430677769036084,69.50918711898761,0.9194461280023501
32.0,32.0,train,0.0019964811311332636,70.02213758654435,0.9248350063348437
33.0,33.0,train,0.002140883605828632,70.44915582162452,0.9376667849901125
34.0,34.0,train,0.0023116691841598073,71.8087534988604,0.9500460081974629
36.0,36.0,train,0.0022888309600374653,71.34733278127399,0.9485449832700017
37.0,37.0,train,0.002252390750344188,70.98229078048914,0.9460560266564874
39.0,39.0,train,0.004001197088721239,88.58277943090842,0.9944102139513188
40.0,40.0,train,0.004081097799289713,91.81982368865617,0.9949602097018767
41.0,41.0,train,0.0024896444894141776,73.52023047477688,0.9603381308826406
43.0,43.0,train,0.0024933226811511304,73.76945093508795,0.9605267924013902
45.0,45.0,train,0.0025588748935309576,74.78142615106923,0.9637425166734849
46.0,46.0,train,0.0040617337620937905,91.0043394814388,0.9948321002012938
