x,y,species cloglog values
1.0,1.0,7.106307E-4
2.0,2.0,2.1293132E-5
3.0,3.0,9.057351E-5
4.0,4.0,5.5590717E-5
5.0,5.0,6.828465E-4
6.0,6.0,0.16290793
7.0,7.0,1.1338709E-4
8.0,8.0,6.610405E-5
9.0,9.0,5.0997973E-5
10.0,10.0,0.42566347
11.0,11.0,8.0101505E-5
12.0,12.0,3.3433578E-4
13.0,13.0,0.19453244
14.0,14.0,0.14166793
15.0,15.0,4.949287E-5
16.0,16.0,7.8550736E-5
17.0,17.0,3.0236331E-5
18.0,18.0,0.002082409
19.0,19.0,2.5927823E-4
20.0,20.0,8.534262E-4
21.0,21.0,0.25036272
22.0,22.0,0.002311083
23.0,23.0,0.04033911
24.0,24.0,5.2450425E-5
25.0,25.0,0.0023282357
26.0,26.0,0.014882625
27.0,27.0,2.0084245E-4
28.0,28.0,7.2868087E-4
29.0,29.0,0.48542768
30.0,30.0,0.5543292
31.0,31.0,1.700481E-4
32.0,32.0,2.9216177E-5
33.0,33.0,8.864312E-5
34.0,34.0,1.10547946E-4
35.0,35.0,0.0013978805
36.0,36.0,3.320531E-5
37.0,37.0,0.65604234
38.0,38.0,0.018676274
39.0,39.0,1.7305314E-4
40.0,40.0,0.0054067867
41.0,41.0,0.0024825034
42.0,42.0,1.6970853E-5
43.0,43.0,7.443018E-5
44.0,44.0,4.246336E-5
45.0,45.0,0.015651328
46.0,46.0,0.018061481
47.0,47.0,0.0014340553
48.0,48.0,1.3123981E-4
49.0,49.0,0.0058400445
50.0,50.0,6.402187E-4
51.0,51.0,0.085493654
52.0,52.0,1.3519677E-4
53.0,53.0,3.8865688E-5
54.0,54.0,7.05508E-4
55.0,55.0,0.014977151
56.0,56.0,0.015288542
57.0,57.0,1.24407E-5
58.0,58.0,4.4652774E-5
59.0,59.0,7.751661E-5
60.0,60.0,0.1078345
61.0,61.0,0.3292841
62.0,62.0,0.05544013
63.0,63.0,2.1290443E-4
64.0,64.0,2.1744505E-5
65.0,65.0,0.004170002
66.0,66.0,1.9556719E-5
67.0,67.0,2.2961967E-6
68.0,68.0,0.078872815
69.0,69.0,0.23263562
70.0,70.0,6.8858825E-4
71.0,71.0,1.2322314E-4
72.0,72.0,2.220415E-5
73.0,73.0,0.0017960125
74.0,74.0,2.9576799E-5
75.0,75.0,6.084952E-4
76.0,76.0,1.9316228E-4
77.0,77.0,0.12878893
78.0,78.0,2.2110506E-4
79.0,79.0,6.6480316E-5
80.0,80.0,5.9055663E-5
81.0,81.0,0.001105071
82.0,82.0,4.99465E-4
83.0,83.0,2.8867627E-4
84.0,84.0,1.3377352E-5
85.0,85.0,8.077922E-5
86.0,86.0,0.0041342303
87.0,87.0,0.0152561525
88.0,88.0,7.630921E-5
89.0,89.0,0.18190488
90.0,90.0,5.5700122E-5
91.0,91.0,0.14620887
92.0,92.0,7.018398E-6
93.0,93.0,5.832479E-4
94.0,94.0,3.2041804E-5
95.0,95.0,0.31417447
96.0,96.0,0.01329519
97.0,97.0,0.018138051
98.0,98.0,0.0021913766
99.0,99.0,0.59813094
100.0,100.0,0.022948701
101.0,101.0,6.980904E-5
102.0,102.0,0.015623174
