Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.53281E-10,0.000000015,0.00000022,1,0,0
1.53648E-10,0.000000031,0.00000022,0.999902153,0,0
7.67497E-10,0.000000124,0.000001101,0.999706458,0,0
7.78035E-10,0.000000279,0.000001116,0.999510763,0,0
1.14728E-9,0.000001039,0.000001645,0.998825832,0,0
1.55936E-9,0.000002574,0.000002236,0.997749511,0,0
2.96524E-9,0.000010194,0.000004252,0.994520548,0,0
4.4435E-9,0.000025213,0.000006372,0.990704501,0,0
5.35619E-9,0.000050107,0.000007681,0.985812133,0,0
6.95183E-9,0.000100487,0.000009969,0.97778865,0,0
1.02751E-8,0.000250931,0.000014735,0.961154599,0,0
1.32964E-8,0.000500725,0.000019067,0.940508806,0,0
1.82753E-8,0.001001429,0.000026207,0.909784736,0,0
3.032E-8,0.00250004,0.000043479,0.848727984,0,0
4.8261E-8,0.005003216,0.000069205,0.786594912,0,0
7.62284E-8,0.010001699,0.000109307,0.705577299,0,0
1.75008E-7,0.025004254,0.000250934,0.576223092,0,0
4.84029E-7,0.050005575,0.00069387,0.492759295,0,0
1.19419E-6,0.100111362,0.00171103,0.429549902,0,0.010638298
3.06247E-6,0.200249826,0.004382031,0.37778865,0,0.010638298
4.86426E-6,0.300294247,0.006951207,0.352837573,0,0.010638298
6.80449E-6,0.400625111,0.00971036,0.33590998,0,0.010638298
8.86506E-6,0.500369924,0.012632252,0.323385519,0,0.010638298
1.08894E-5,0.600417287,0.01549432,0.313502935,0,0.010638298
1.26675E-5,0.700396694,0.018001452,0.30518591,0.004545455,0.010638298
1.35484E-5,0.750187668,0.019241269,0.30146771,0.004545455,0.010638298
1.42147E-5,0.800348174,0.020177847,0.297945205,0.009090909,0.010638298
1.5862E-5,0.901165515,0.022489827,0.291389432,0.009090909,0.010638298
1.74101E-5,1.001070322,0.024657427,0.285518591,0.009090909,0.010638298
1.91716E-5,1.100207542,0.027118089,0.280234834,0.009090909,0.010638298
2.09429E-5,1.200318292,0.029586111,0.275342466,0.009090909,0.010638298
2.27196E-5,1.300973149,0.03205544,0.270841487,0.009090909,0.010638298
2.46105E-5,1.402446052,0.034676594,0.266634051,0.009090909,0.010638298
2.5917E-5,1.501013008,0.036483451,0.262818004,0.009090909,0.010638298
2.92724E-5,1.752637032,0.041108527,0.253913894,0.009090909,0.010638298
3.26377E-5,2.001069028,0.045724843,0.246086106,0.009090909,0.010638298
3.73567E-5,2.25363059,0.052160792,0.239041096,0.009090909,0.010638298
4.25191E-5,2.502586619,0.059151773,0.23297456,0.009090909,0.010638298
4.67152E-5,2.752158977,0.064796168,0.227495108,0.013636364,0.010638298
5.20345E-5,3.004263331,0.071902775,0.222504892,0.013636364,0.010638298
5.6662E-5,3.254182716,0.078041182,0.218003914,0.018181818,0.021276596
6.03012E-5,3.505415201,0.082840089,0.213796477,0.018181818,0.021276596
6.38186E-5,3.753267403,0.087454666,0.209882583,0.018181818,0.021276596
6.77647E-5,4.002798333,0.092604016,0.206164384,0.018181818,0.031914894
7.175E-5,4.254960852,0.097774949,0.202641879,0.018181818,0.031914894
7.67756E-5,4.500926851,0.104253735,0.199412916,0.018181818,0.042553191
8.0671E-5,4.753014278,0.10924362,0.1962818,0.018181818,0.042553191
8.50516E-5,5.00147403,0.114821635,0.19334638,0.022727273,0.042553191
9.0148E-5,5.255645366,0.12126728,0.190508806,0.027272727,0.053191489
9.41688E-5,5.503932515,0.126319397,0.187866928,0.027272727,0.063829787
9.90063E-5,5.755967948,0.132359279,0.185322896,0.027272727,0.063829787
1.03146E-4,6.008744178,0.137494332,0.182876712,0.027272727,0.063829787
1.05854E-4,6.260072751,0.140837843,0.180528376,0.027272727,0.063829787
1.09587E-4,6.508198608,0.145424558,0.178277886,0.027272727,0.063829787
1.13109E-4,6.752089827,0.149729503,0.176125245,0.027272727,0.063829787
