FID	source	sourceID	scientific	year	latitude	longitude
0	GBIF	1825105137	Sargassum muticum (Yendo) Fensholt	2017	59.417838	5.258118
1	GBIF	1822699926	Sargassum muticum (Yendo) Fensholt	2017	59.359863	5.279713
2	GBIF	1823695918	Sargassum muticum (Yendo) Fensholt	2017	59.346222	5.289173
3	GBIF	1802469350	Sargassum muticum (Yendo) Fensholt	1997	59.059292	10.403642
4	GBIF	239540776	Sargassum muticum (Yendo) Fensholt	1988	58.985349	5.562859
5	GBIF	2410826533	Sargassum muticum (Yendo) Fensholt	2014	58.971586	9.865299
6	GBIF	1413029307	Sargassum muticum (Yendo) Fensholt	1989	58.616918	9.097259
7	GBIF	1499293325	Sargassum muticum (Yendo) Fensholt	1984	58.158188	8.276946
8	GBIF	1499293913	Sargassum muticum (Yendo) Fensholt	2016	58.122455	8.16223
9	GBIF	239540775	Sargassum muticum (Yendo) Fensholt	1989	58.1201	8.210704
10	GBIF	1499294011	Sargassum muticum (Yendo) Fensholt	2015	58.085408	7.951667
11	GBIF	1499293509	Sargassum muticum (Yendo) Fensholt	2015	58.083325	7.963853
12	GBIF	239540790	Sargassum muticum (Yendo) Fensholt	1992	58.070224	7.907477
13	GBIF	1413029372	Sargassum muticum (Yendo) Fensholt	2014	58.064391	7.967402
14	GBIF	239540835	Sargassum muticum (Yendo) Fensholt	2005	58.050376	7.706458
15	GBIF	1413029539	Sargassum muticum (Yendo) Fensholt	2015	58.023328	7.665564
16	GBIF	354546111	Sargassum muticum (Yendo) Fensholt	1959	57.75	10.62
17	GBIF	354546110	Sargassum muticum (Yendo) Fensholt	1959	57.75	10.62
18	GBIF	354546108	Sargassum muticum (Yendo) Fensholt	1991	57.75	10.62
19	MHP	64968	Sargassum muticum	1990	57.583333	9.966667
20	GBIF	2516881851	Sargassum muticum (Yendo) Fensholt	1990	57.583333	9.966667
21	GBIF	1989139980	Sargassum muticum (Yendo) Fensholt	1990	57.583333	9.966667
