X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,3.4984079756280445E-4,26.02138164782759,0.5245174104556632
3.0,3.0,train,4.149202918501544E-4,30.520382350335886,0.5859304878683577
4.0,4.0,train,4.723118404274556E-4,35.03412011767884,0.6334721022152701
5.0,5.0,train,5.083850764856959E-4,38.87369340293932,0.6605191163596471
6.0,6.0,train,7.626332775810329E-4,69.39770818447629,0.8022248989462841
9.0,9.0,train,5.05053928399575E-4,38.34574353504071,0.6581074677424792
10.0,10.0,train,7.350850000168287E-4,65.78470477721781,0.7903013142913904
11.0,11.0,train,7.700884969454402E-4,70.48691046229297,0.8053334865861292
12.0,12.0,train,7.070586677491901E-4,61.014792778449504,0.777432885707664
13.0,13.0,train,7.466036173438616E-4,67.76567870510229,0.7953719031005437
14.0,14.0,train,7.428293983311482E-4,66.78674583692235,0.793724113185002
15.0,15.0,train,7.460039090068847E-4,67.56552678785455,0.7951109581913731
16.0,16.0,train,7.567004726118427E-4,68.82608568818858,0.7997156777485945
17.0,17.0,train,7.090083160932807E-4,61.20024337594107,0.7783530908323952
18.0,18.0,train,7.371105799010788E-4,65.93128635022207,0.791202008639852
20.0,20.0,train,7.291033286378824E-4,64.28293249609308,0.7876187624959939
21.0,21.0,train,7.288929737766103E-4,64.25286551680078,0.7875238042933962
22.0,22.0,train,7.558358403476961E-4,68.74943616648093,0.7993473417639617
23.0,23.0,train,7.438750570435242E-4,66.93440042783298,0.7941819626508942
24.0,24.0,train,7.642271469817941E-4,69.68762359140999,0.8028936366127046
25.0,25.0,train,7.638517204368157E-4,69.59366141235333,0.8027363232599405
26.0,26.0,train,7.460333937727563E-4,67.57537938215928,0.7951237953682129
27.0,27.0,train,7.793253865254451E-4,71.38823878877646,0.8091172882323425
30.0,30.0,train,7.794718649437108E-4,71.41659915631604,0.8091766954704525
32.0,32.0,train,7.48707870945191E-4,68.19982671620788,0.7962848792263357
33.0,33.0,train,5.409414000723821E-4,42.64526014466113,0.6832115468040354
34.0,34.0,train,5.864210386889398E-4,47.36429597722207,0.7123949319300357
36.0,36.0,train,7.166158280916159E-4,62.51205446089136,0.7819074827451482
37.0,37.0,train,7.142729355126625E-4,62.011041796896215,0.7808189501859389
39.0,39.0,train,9.60672085802584E-4,83.83440755146266,0.8701616097263645
40.0,40.0,train,9.903665317756891E-4,86.22226540600343,0.8781015041442263
41.0,41.0,train,7.040296299065111E-4,60.61667244757494,0.775995640410607
43.0,43.0,train,6.72548850528829E-4,57.84331551204143,0.76049761651547
45.0,45.0,train,6.546592047768616E-4,56.04122014706354,0.7512173690897623
46.0,46.0,train,9.985542054532386E-4,87.07268036014128,0.8802040859120401
48.0,48.0,train,6.967430974573877E-4,59.85268916248306,0.7725001286356004
49.0,49.0,train,0.0011177114896596967,94.77209299526726,0.9070022021427983
50.0,50.0,train,0.0010716556619288743,91.32925848346738,0.8974401837927479
53.0,53.0,train,6.811968167384034E-4,58.50789333576496,0.7648588172732531
54.0,54.0,train,5.833639316484466E-4,47.05442240995135,0.710520432345547
55.0,55.0,train,0.0011180707275812126,94.82779800055408,0.9070731690364621
56.0,56.0,train,7.6449626141412E-4,69.75495334477115,0.8030063252619073
57.0,57.0,train,0.001114435850659354,94.30820357942781,0.9063525994442273
59.0,59.0,train,7.057769195822505E-4,60.802791481005464,0.7768258391419293
60.0,60.0,train,4.3458501172718235E-4,32.02826775581339,0.6028771871610925
61.0,61.0,train,0.001113421180882138,94.17414470739864,0.9061504579527908
62.0,62.0,train,7.188982942845722E-4,62.82830662135832,0.782962741645567
64.0,64.0,train,0.001114273195588857,94.28626261760698,0.9063202247924163
65.0,65.0,train,7.448756648186864E-4,67.11613178471949,0.7946191346881248
66.0,66.0,train,0.0011073002113670264,93.93012279998993,0.9049217557178362
67.0,67.0,train,5.831521762326771E-4,47.03633085962717,0.7103901406086266
68.0,68.0,train,6.01538007014112E-4,49.72261624462389,0.7214871733609832
69.0,69.0,train,5.853784971870876E-4,47.22653897042391,0.7117570537192512
70.0,70.0,train,6.100708023867275E-4,50.90852555136335,0.7264918010029169
71.0,71.0,train,0.0011013950083987763,93.60709121417528,0.90372112215364
72.0,72.0,train,0.0011026574564828998,93.82447416772484,0.9039790681790287
74.0,74.0,train,4.1116064568807965E-4,30.273279486788894,0.5826090741749121
77.0,77.0,train,7.857688356754303E-4,72.07632877856588,0.8117131514461263
79.0,79.0,train,9.112876473100929E-4,80.5312426174773,0.8557952251280632
81.0,81.0,train,9.022890151792765E-4,79.66089688423614,0.8530111442048828
82.0,82.0,train,9.271664402640346E-4,81.36400883698701,0.8605799529347073
83.0,83.0,train,9.333367681461658E-4,81.84168070456299,0.8623961209333705
84.0,84.0,train,0.0010864345821199064,93.09879180306696,0.9006111004277206
86.0,86.0,train,0.0010854005536242595,93.05740646792468,0.9003924681196116
87.0,87.0,train,3.923997227553918E-4,28.7751616717033,0.5656325086451581
88.0,88.0,train,4.068430383245334E-4,29.858511156723253,0.5787618567591868
89.0,89.0,train,0.001082061360176287,92.54085626248006,0.8996831480593521
90.0,90.0,train,0.001084077021762792,92.83994739243055,0.9001119220582147
92.0,92.0,train,0.0010818947006820873,92.51612672614773,0.8996476137748113
93.0,93.0,train,3.5956079580506646E-4,26.709797815925338,0.5342379413460052
94.0,94.0,train,0.0010770506599817584,91.76006904575937,0.8986092742565294
95.0,95.0,train,0.0010605675246679607,90.47094302844977,0.8949949005774428
97.0,97.0,train,0.0010192464038070196,88.24652731633329,0.8853575826470762
98.0,98.0,train,7.077897952990826E-4,61.084352245899304,0.7777784139302955
99.0,99.0,train,0.0010687732719275285,91.0089878582578,0.8968100577375627
100.0,100.0,train,7.732555203527089E-4,70.754314710595,0.8066392023491089
101.0,101.0,train,3.7932458086224714E-4,28.011805034452937,0.5533942991381686
102.0,102.0,train,6.52870002569095E-4,55.86212899092534,0.7502696664764447
103.0,103.0,train,4.87142267471773E-4,36.283233346449755,0.644843188011103
104.0,104.0,train,0.001066319661764709,90.79486418570366,0.8962706187312032
105.0,105.0,train,0.0010769901894488196,91.7544177245041,0.898596244489623
106.0,106.0,train,0.0010776647861600957,91.93895011174527,0.8987415070587147
111.0,111.0,train,4.94052370066577E-4,37.154749210218135,0.6500202888061412
113.0,113.0,train,5.294630570700386E-4,41.25752630702636,0.6753894594848251
114.0,114.0,train,4.982748066982078E-4,37.73854500313264,0.6531465535527401
115.0,115.0,train,6.181943858847204E-4,51.890327349811926,0.7311728319170443
116.0,116.0,train,7.169292488192193E-4,62.55312834724458,0.7820526907557376
118.0,118.0,train,9.982221361386026E-4,87.04229213936621,0.8801195209015351
119.0,119.0,train,6.327610901108214E-4,53.274243827786236,0.7393668470759054
121.0,121.0,train,9.87611551095907E-4,86.07101852644833,0.8773857637728917
122.0,122.0,train,8.181348231854907E-4,74.25161040766442,0.8242280116137416
123.0,123.0,train,4.6836951914513904E-4,34.71952786090959,0.6303885862311519
124.0,124.0,train,7.413105696262878E-4,66.58327251154938,0.7930572679994874
125.0,125.0,train,6.701447757377472E-4,57.66041370882665,0.7592709278508073
126.0,126.0,train,7.408646546215519E-4,66.5235274151971,0.7928610789509162
128.0,128.0,train,7.125202527160187E-4,61.70387113087725,0.7800010843617226
131.0,131.0,train,6.156756861602544E-4,51.66751867321466,0.7297301219607185
133.0,133.0,train,7.127114500317849E-4,61.73419124938298,0.7800904521111958
134.0,134.0,train,7.242502551892655E-4,63.52166793486652,0.7854171489818929
135.0,135.0,train,7.010683196843337E-4,60.31692030423389,0.7745815593917909
137.0,137.0,train,7.247232640265134E-4,63.60330364854506,0.785632731098034
138.0,138.0,train,6.457889297469166E-4,55.11385485433406,0.7464834215569605
139.0,139.0,train,5.014949641175544E-4,38.0929286707033,0.6555119544091421
140.0,140.0,train,5.069195837842015E-4,38.54273753370722,0.6594602476377208
141.0,141.0,train,4.851660723629307E-4,36.03999956953714,0.6433485744780039
144.0,144.0,train,4.460726586164366E-4,33.179593679021345,0.6124542531818502
145.0,145.0,train,4.507986423292039E-4,33.62100296375613,0.6163268559202794
146.0,146.0,train,2.664656112854279E-4,19.052787650326877,0.43234961430504004
147.0,147.0,train,2.681731156285821E-4,19.270157684368137,0.43440560803430794
149.0,149.0,train,2.7415952685811974E-4,20.020113086738164,0.4415551608386552
150.0,150.0,train,2.672563181273463E-4,19.153446984964997,0.4333026262212444
151.0,151.0,train,3.0664936821017674E-4,22.613278100763434,0.4788105007083957
152.0,152.0,train,2.583290136278721E-4,18.292689672352395,0.42244926529549576
155.0,155.0,train,2.6900823468477904E-4,19.3739321822001,0.43540845553720775
156.0,156.0,train,2.5133849952228794E-4,17.856195714123647,0.4138056444018221
157.0,157.0,train,2.3236573815696508E-4,16.2003072101918,0.3896886482863199
160.0,160.0,train,2.1240388150796252E-4,14.773040629352867,0.3632424665452416
161.0,161.0,train,2.1011402693451762E-4,14.57387583502253,0.36013643558097586
163.0,163.0,train,2.242918702493908E-4,15.572416187804622,0.3791270222907792
165.0,165.0,train,2.348826661665274E-4,16.503644618822957,0.3929442258521534
167.0,167.0,train,2.3279289895889382E-4,16.254417206920422,0.39024239665360916
169.0,169.0,train,2.3289095218976977E-4,16.266837962706003,0.3903694366877476
170.0,170.0,train,2.33796910009986E-4,16.37525103549509,0.3915419652773613
171.0,171.0,train,2.3038127374224734E-4,15.96183249387527,0.3871094928087867
172.0,172.0,train,2.2840411890897867E-4,15.763160999191003,0.3845289981767466
173.0,173.0,train,2.323464067356346E-4,16.19785842945108,0.3896635761772027
174.0,174.0,train,2.3563261025040232E-4,16.561992356157937,0.39391089571571447
177.0,177.0,train,2.64490892444018E-4,18.805468673599453,0.4299625480862882
178.0,178.0,train,2.732754358976594E-4,19.929283489301234,0.44050500930583447
180.0,180.0,train,2.77536329912207E-4,20.361310963750423,0.445548125321954
182.0,182.0,train,2.70734172964845E-4,19.612183755730506,0.43747540644230254
184.0,184.0,train,1.1027073956460044E-4,7.062802561247674,0.20889891022376217
187.0,187.0,train,1.0529347541047071E-4,6.681019485701844,0.20048712546620262
188.0,188.0,train,1.2544068123923315E-4,8.580602749725447,0.23399472509393726
190.0,190.0,train,1.4568156005567614E-4,10.096984423346617,0.2662440955991646
193.0,193.0,train,6.873077970693617E-5,3.994126731110944,0.13589027641488827
194.0,194.0,train,6.878230307114563E-5,3.9978400181000326,0.13598488184055002
195.0,195.0,train,6.809109385324323E-5,3.948024594845825,0.13471484425917368
198.0,198.0,train,4.951810038751014E-4,37.28203998109236,0.6508586707933415
199.0,199.0,train,5.07986418772799E-4,38.79114521441166,0.6602313989236723
200.0,200.0,train,5.06284774278686E-4,38.465730404984946,0.6590005514364988
202.0,202.0,train,4.1559928255618966E-4,30.563037319352972,0.5865275101212138
203.0,203.0,train,5.177441252944279E-4,40.03289617356481,0.6672041286674912
204.0,204.0,train,0.0010202111869580357,88.28572076586626,0.8855923818620002
205.0,205.0,train,0.001028025483068029,88.59986650077792,0.8874765108683094
208.0,208.0,train,1.0581139050257832E-4,6.7137255898838415,0.20136657672460367
210.0,210.0,train,4.984188600439894E-4,37.76321574597152,0.6532527156787478
211.0,211.0,train,0.0011401190711363798,96.29670373095192,0.9113266981455761
212.0,212.0,train,0.0010834625390025228,92.74876822607918,0.8999814030829131
213.0,213.0,train,9.547642831824185E-4,83.26011605062672,0.8685213040078504
214.0,214.0,train,0.0010696511638065304,91.10653294439226,0.8970023846584451
216.0,216.0,train,0.0010686860821712688,91.00130304183048,0.8967909367736628
217.0,217.0,train,9.835878868502308E-4,85.72095905991674,0.8763328631733243
219.0,219.0,train,4.51371216095094E-4,33.691974173581535,0.6167934028932898
220.0,220.0,train,0.001122946091645755,95.13248071464378,0.9080309520216122
221.0,221.0,train,4.316110060811834E-4,31.792882781480923,0.6003594731001248
222.0,222.0,train,0.0011470096624315459,96.99756655349428,0.9126156607833207
223.0,223.0,train,0.0011646287821493438,99.29821682853411,0.9158269514685141
224.0,224.0,train,0.0011575893974296388,97.92771268148242,0.9145583453012307
225.0,225.0,train,4.3343532053105707E-4,31.934323913456527,0.6019057753384564
226.0,226.0,train,0.0011654007983396414,99.53144513656171,0.9159649295125134
227.0,227.0,train,0.0011668274603728846,99.76415938711664,0.916219313766512
228.0,228.0,train,0.0011219772454978143,95.05190000673447,0.9078414078785072
230.0,230.0,train,9.942923089081943E-4,86.57426284368947,0.8791142032507936
231.0,231.0,train,0.0011606949389217274,98.91034496893442,0.9151203519442158
232.0,232.0,train,0.0011548984351000297,97.55739921542404,0.9140683563252854
233.0,233.0,train,0.001158619211724469,98.20227000628755,0.9147451209113683
234.0,234.0,train,0.0011590110587947678,98.47664992419466,0.9148160822431463
237.0,237.0,train,0.001154675031373406,97.32788174334345,0.9140275513292813
238.0,238.0,train,0.0011573660496115063,97.79005145407599,0.9145177831344599
239.0,239.0,train,0.0011590926804077345,98.60188224954827,0.9148308560301718
241.0,241.0,train,0.0011612252444924964,99.0642608703892,0.9152159506008387
242.0,242.0,train,0.0011590413545892457,98.52453304829311,0.9148215661830994
244.0,244.0,train,9.651968488468131E-4,84.1973914533652,0.8714040611448357
245.0,245.0,train,0.0010000296216205015,87.17711865430323,0.880579095706763
246.0,246.0,train,0.001057170297770037,90.05183667953466,0.894234101040907
247.0,247.0,train,0.0011402528489829434,96.3490615237294,0.9113519028765165
249.0,249.0,train,0.001157740073696804,98.02196957131132,0.9145856987247863
250.0,250.0,train,1.110075051512472E-4,7.12432617252528,0.21013653243904296
251.0,251.0,train,6.386736131985526E-4,53.91819178252155,0.7426210435298968
252.0,252.0,train,6.300955743999564E-4,53.02141070397076,0.7378863478265874
254.0,254.0,train,5.785664393898193E-4,46.51322218475917,0.7075541357209625
255.0,255.0,train,6.414036934399964E-4,54.42398116558146,0.7441099108110203
256.0,256.0,train,5.621620315485296E-4,44.748744344929364,0.6971796996849304
257.0,257.0,train,5.46063160871388E-4,43.224277809121084,0.6866407567641039
259.0,259.0,train,5.380736724873745E-4,42.27016245421675,0.6812751340892245
260.0,260.0,train,5.263235409229696E-4,40.903010969685404,0.6732165502960656
262.0,262.0,train,5.178135282853821E-4,40.03929214438427,0.6672532071138289
264.0,264.0,train,5.390141619189403E-4,42.366618826794834,0.681911493789069
265.0,265.0,train,5.290871955048741E-4,41.218404273129906,0.6751300829394189
266.0,266.0,train,6.481925887733644E-4,55.511002494197825,0.7477750489666892
269.0,269.0,train,4.854536617266969E-4,36.075396496174996,0.6435664712510067
270.0,270.0,train,5.091241819890286E-4,39.02700993867866,0.6610518958054009
272.0,272.0,train,5.72385647186054E-4,45.80560295326554,0.7036876931309405
273.0,273.0,train,4.214221564708089E-4,30.971400749404456,0.5916122243295141
275.0,275.0,train,4.748905646498244E-4,35.27084188178096,0.635475140504651
276.0,276.0,train,3.5508037374886955E-4,26.449624324357313,0.5297822113850766
277.0,277.0,train,6.119440626909105E-4,51.29460779501132,0.7275784044350635
278.0,278.0,train,6.229292982299615E-4,52.30846688485113,0.7338641729948987
280.0,280.0,train,4.098927718855622E-4,30.12230197746931,0.5814829897989121
283.0,283.0,train,4.1857744413215103E-4,30.749897633019735,0.5891359933785216
284.0,284.0,train,3.0946191940271344E-4,22.818137672704935,0.4819162444097713
285.0,285.0,train,3.397737444656037E-4,25.253804144965894,0.5142358892056852
286.0,286.0,train,3.465536329778965E-4,25.75586356406265,0.5211843705337511
287.0,287.0,train,3.386867533770994E-4,25.113007619585886,0.5131125270019422
291.0,291.0,train,2.415100838891578E-4,17.079530986047956,0.4014337832010011
292.0,292.0,train,2.4257279808108183E-4,17.193383979842867,0.40278400496277433
293.0,293.0,train,2.7099351017840123E-4,19.654484286944847,0.4377853291549718
294.0,294.0,train,1.5078135146147527E-4,10.533951480410872,0.27415305930058875
295.0,295.0,train,1.4770369134684366E-4,10.253758420104317,0.2693903577265485
296.0,296.0,train,1.696447677020833E-4,11.891782749105698,0.3026735332838323
297.0,297.0,train,1.0241557205200378E-4,6.498866717278219,0.1955825992951079
299.0,299.0,train,4.843522250311216E-5,2.227037670703656,0.09780689067489068
300.0,300.0,train,5.192255890320141E-6,0.14887659401444234,0.010973092967839215
304.0,304.0,train,2.1365929499472572E-5,0.6966573566185417,0.04438810272847882
308.0,308.0,train,2.317649669166934E-4,16.12420535417184,0.3889089895499813
309.0,309.0,train,2.458251597708445E-4,17.44418579344365,0.4068973681466608
310.0,310.0,train,2.6739501177419097E-4,19.171103099051535,0.4334696239190895
312.0,312.0,train,2.9698540798483276E-4,21.934016665652504,0.4679965462977951
314.0,314.0,train,4.989588846441542E-4,37.83799296538262,0.653650405209742
47.0,47.0,test,0.0010937960927822833,93.36749519190658,0.902153791725342
35.0,35.0,test,7.279802887715749E-4,64.12241128826119,0.7871113088696533
1.0,1.0,test,1.775797498350113E-8,8.019931336376367E-4,3.773566085041313E-5
186.0,186.0,test,1.072999760580076E-4,6.821779701175827,0.20388890306787155
189.0,189.0,test,1.5541147106598783E-4,10.892646976683308,0.2812597788273218
159.0,159.0,test,2.084695527870319E-4,14.476541960202795,0.35789647588984097
52.0,52.0,test,0.0010858345453277555,93.0747762910715,0.900484288708229
218.0,218.0,test,4.600891013317322E-4,34.376072711162074,0.6238272709123045
281.0,281.0,test,3.8627331251899047E-4,28.42738621855297,0.5599405704039323
271.0,271.0,test,5.434192835542045E-4,42.91348602401331,0.684875243025935
183.0,183.0,test,1.1200256578415338E-4,7.207418711978972,0.2118049670895059
298.0,298.0,test,4.544393118993103E-5,1.982120070949692,0.09205373691659458
143.0,143.0,test,4.3788771751130057E-4,32.342102083426454,0.605654586373225
201.0,201.0,test,5.026913632099596E-4,38.168157160095575,0.6563866662151661
301.0,301.0,test,4.898995227115583E-5,2.26918273271409,0.09886978904044208
148.0,148.0,test,2.661614069589018E-4,19.014061534048608,0.4319825404779617
209.0,209.0,test,5.111222998149574E-4,39.39617650501976,0.6624880442111414
154.0,154.0,test,1.054819542511947E-4,6.692921839378652,0.20080728600933884
181.0,181.0,test,2.545545801678178E-4,18.042812325752507,0.41779821012975504
263.0,263.0,test,5.247504945676096E-4,40.721655561277295,0.672122356200709
236.0,236.0,test,0.0011561038715781763,97.67181587822513,0.9142881969947083
42.0,42.0,test,7.155629538308074E-4,62.225383398029216,0.7814189767208116
179.0,179.0,test,2.8901532648915293E-4,21.479168451049603,0.45890941333729063
261.0,261.0,test,5.342401452073708E-4,42.01969021916573,0.6786680719239853
110.0,110.0,test,5.28759269315549E-4,41.184276522477,0.6749036166087579
282.0,282.0,test,4.591999145443821E-4,34.322329369745056,0.6231157995896981
80.0,80.0,test,0.0010908581050909324,93.27567741994996,0.9015409940409174
58.0,58.0,test,4.4288184293368824E-4,32.69234390195064,0.6098175294440866
73.0,73.0,test,6.024939298590532E-4,49.8712966544262,0.7220523623910273
313.0,313.0,test,3.1723317020953336E-4,23.448129429503823,0.490401726799216
142.0,142.0,test,5.137197032421435E-4,39.667008329640396,0.664345837008569
166.0,166.0,test,2.214080024446839E-4,15.383464137321953,0.37531042576273355
51.0,51.0,test,0.001119111055723488,94.88747765101186,0.9072783788951497
306.0,306.0,test,2.1565473999923828E-4,14.968909030393522,0.3676261545694445
274.0,274.0,test,5.192618874804325E-4,40.14929566074339,0.6682757668903698
279.0,279.0,test,3.20366883079333E-4,23.7023164830478,0.4937839995452825
107.0,107.0,test,6.0290523303556E-4,49.93540533863031,0.7222951921925034
311.0,311.0,test,2.7764799908562066E-4,20.374374190012116,0.44567968183199336
207.0,207.0,test,0.0010268385274886476,88.54126970125454,0.8871923317239689
28.0,28.0,test,7.649483769641328E-4,69.82571887379744,0.8031954985577083
153.0,153.0,test,2.807535607454581E-4,20.682858755762965,0.44932583918586433
206.0,206.0,test,0.001025502811180408,88.48976474553741,0.8868716781592054
302.0,302.0,test,7.279446992860203E-5,4.292407220676126,0.14332016627361333
8.0,8.0,test,5.341241329602057E-4,42.012110294798866,0.678588844056207
31.0,31.0,test,7.677833527672568E-4,70.17835674511902,0.8043775695684068
158.0,158.0,test,2.2663531986910862E-4,15.679709627668085,0.3822112338977962
305.0,305.0,test,2.0032435568869477E-4,14.01993738301771,0.3466856564708908
288.0,288.0,test,3.1715348532891153E-4,23.443433425032953,0.4903154274820619
38.0,38.0,test,6.947552811932683E-4,59.646664595788934,0.7715370944527948
168.0,168.0,test,1.940283138636914E-4,13.614791900700727,0.33788601382733596
76.0,76.0,test,0.0010994645217787375,93.5446445116539,0.9033253405075596
240.0,240.0,test,0.0011655952033950614,99.56315609944008,0.9159996387548166
109.0,109.0,test,0.0010257406329551133,88.4989351059644,0.8869288365426583
289.0,289.0,test,3.2650037741464426E-4,24.08783681263694,0.5003391603219769
258.0,258.0,test,5.605923087916657E-4,44.597993823329055,0.6961678891460239
132.0,132.0,test,7.265476667186212E-4,63.90767589022075,0.7864622080101681
91.0,91.0,test,0.0010805919229489465,92.36038285354718,0.8993694080606659
248.0,248.0,test,0.0010797098451773022,92.255026062805,0.8991806042676821
267.0,267.0,test,4.520726483183613E-4,33.77891754483155,0.6173641737258508
117.0,117.0,test,6.70194432696344E-4,57.66660565748066,0.7592963289469836
44.0,44.0,test,6.999014001554662E-4,60.179173785957325,0.7740218847300951
253.0,253.0,test,5.816880469280246E-4,46.88888769652235,0.7094876653959403
129.0,129.0,test,7.017311725100412E-4,60.38248434100177,0.7748988574633773
235.0,235.0,test,0.0011812360032077234,100.0,0.918745695005887
29.0,29.0,test,7.819273722608873E-4,71.7139065051981,0.8101698269951316
