Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.12098E-13,0.000000001,0.000000001,0.972782455,0,0
1.02829E-12,0.000000003,0.000000002,0.971020168,0,0
2.89058E-12,0.00000001,0.000000004,0.96700607,0,0
6.33374E-12,0.000000025,0.000000009,0.963873115,0,0
1.90757E-11,0.0000001,0.000000029,0.957411396,0,0
5.46756E-11,0.000000253,0.000000082,0.953103583,0,0
9.87127E-11,0.000001009,0.000000148,0.943606814,0,0
1.48899E-10,0.00000251,0.000000223,0.931760329,0,0
2.67073E-10,0.000010001,0.0000004,0.896122968,0,0
4.75259E-10,0.000025047,0.000000712,0.854513413,0,0
8.34173E-10,0.000050082,0.000001249,0.816330527,0,0
1.41685E-9,0.000100133,0.000002121,0.771685921,0,0
3.19192E-9,0.000250014,0.000004779,0.705795966,0,0
6.10462E-9,0.000500133,0.000009139,0.652046211,0,0
1.2892E-8,0.001000601,0.000019301,0.598100646,0,0
3.79653E-8,0.002501888,0.000056837,0.533091835,0,0
8.59895E-8,0.005000469,0.000128729,0.490796945,0,0
1.94455E-7,0.010013451,0.00029108,0.453103583,0,0
5.44526E-7,0.025025417,0.00081489,0.408752692,0,0
1.2634E-6,0.050085604,0.001889672,0.379870766,0,0
2.59479E-6,0.100256529,0.003877178,0.352751126,0,0
5.5023E-6,0.200458404,0.008203788,0.327589583,0,0
7.84687E-6,0.300159781,0.011678986,0.313001762,0,0
1.00557E-5,0.40053535,0.014941887,0.302134325,0,0
1.18801E-5,0.501012026,0.017628697,0.29312708,0,0
1.37444E-5,0.601086952,0.020366728,0.285490503,0,0
1.55339E-5,0.701040763,0.022987872,0.278832974,0,0
1.66503E-5,0.750924267,0.024619419,0.275797924,0,0
1.80084E-5,0.801285402,0.026600607,0.272958684,0,0
2.06298E-5,0.901965046,0.030413207,0.267867633,0.004608295,0
2.25339E-5,1.001448979,0.03317326,0.26336401,0.004608295,0
2.40573E-5,1.101787007,0.035375855,0.259154102,0.004608295,0
2.57054E-5,1.201252134,0.037753066,0.255237909,0.004608295,0
2.7795E-5,1.30030626,0.040758543,0.25161543,0.004608295,0
2.97097E-5,1.400729128,0.043504336,0.248188761,0.004608295,0
3.17952E-5,1.502053142,0.046486154,0.244957901,0.004608295,0
3.63427E-5,1.750238222,0.05295583,0.237810848,0.004608295,0
4.07388E-5,2.000358175,0.059168229,0.231447033,0.004608295,0
4.52683E-5,2.254147387,0.065526738,0.225670648,0.00921659,0.018181818
4.94781E-5,2.500198113,0.071397816,0.220579597,0.00921659,0.018181818
5.37032E-5,2.753461126,0.077253112,0.21578226,0.00921659,0.018181818
5.75662E-5,3.004394687,0.082574346,0.211376542,0.00921659,0.018181818
6.19349E-5,3.255576938,0.088555088,0.207264539,0.00921659,0.018181818
6.57506E-5,3.504645445,0.093746921,0.20344625,0.00921659,0.018181818
6.89761E-5,3.754448634,0.098112668,0.199823771,0.00921659,0.018181818
7.17232E-5,4.000897068,0.101814305,0.196397102,0.00921659,0.018181818
7.60075E-5,4.252523209,0.107556896,0.193068338,0.00921659,0.018181818
7.99994E-5,4.502434161,0.112874542,0.189935383,0.013824885,0.018181818
8.34068E-5,4.75519564,0.117388525,0.186900333,0.013824885,0.018181818
8.7414E-5,5.002280549,0.122667738,0.184061093,0.013824885,0.018181818
9.14422E-5,5.253856525,0.127942754,0.181319757,0.013824885,0.018181818
9.46521E-5,5.504498635,0.132123421,0.178676327,0.013824885,0.018181818
9.79692E-5,5.754450189,0.136422764,0.176130801,0.013824885,0.018181818
1.01755E-4,6.003787426,0.141303659,0.17368318,0.013824885,0.018181818
1.07608E-4,6.255848564,0.148795535,0.171333464,0.013824885,0.018181818
1.11428E-4,6.506618885,0.153648606,0.169081653,0.013824885,0.018181818
1.15432E-4,6.756464767,0.158707375,0.166927746,0.013824885,0.018181818
1.18667E-4,7.002415236,0.162771724,0.164871745,0.013824885,0.018181818
1.22783E-4,7.257101666,0.167915098,0.162815743,0.013824885,0.018181818
1.27903E-4,7.508274597,0.174269029,0.160857646,0.013824885,0.018181818
1.31955E-4,7.754805212,0.179263785,0.158997454,0.013824885,0.018181818
1.36036E-4,8.008711008,0.184262202,0.157137263,0.013824885,0.018181818
1.38164E-4,8.255930675,0.186857444,0.155374976,0.013824885,0.018181818
1.40465E-4,8.506913852,0.18965337,0.153612688,0.02764977,0.018181818
1.42569E-4,8.761371707,0.192202593,0.151850401,0.02764977,0.018181818
1.44976E-4,9.006182075,0.195107472,0.150186019,0.02764977,0.018181818
1.47285E-4,9.254533772,0.19788479,0.148521637,0.02764977,0.018181818
1.49529E-4,9.566893766,0.200575915,0.146465635,0.069124424,0.018181818
1.51819E-4,9.762726697,0.2033115,0.145192873,0.069124424,0.018181818
1.54247E-4,10.008021254,0.206202358,0.143626395,0.069124424,0.018181818
