Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.68568E-13,0.000000001,0.000000001,0.994615761,0,0
6.74408E-13,0.000000003,0.000000002,0.992070485,0,0
2.12238E-12,0.00000001,0.000000005,0.986686246,0,0
5.1583E-12,0.000000025,0.000000012,0.982183064,0,0
2.80101E-11,0.0000001,0.000000063,0.977581987,0,0
6.60769E-11,0.00000025,0.00000015,0.974547234,0,0
1.97246E-10,0.000001011,0.000000447,0.968673519,0,0
3.09087E-10,0.000002511,0.0000007,0.962897699,0,0
5.39378E-10,0.000010034,0.000001222,0.946157611,0,0
8.16827E-10,0.00002503,0.000001851,0.924522761,0,0
1.19601E-9,0.000050047,0.00000271,0.900146843,0,0
1.82394E-9,0.000100096,0.000004133,0.867547724,0,0
3.82011E-9,0.000250025,0.000008656,0.812432697,0,0
7.60329E-9,0.000500524,0.000017229,0.76886931,0,0
1.30901E-8,0.001000347,0.000029662,0.72041116,0,0
2.9797E-8,0.002502043,0.000067518,0.645227606,0,0
6.57085E-8,0.005000237,0.000148885,0.589720999,0,0
1.58566E-7,0.010002855,0.000359246,0.542046011,0,0
4.28361E-7,0.025009253,0.000970198,0.48928047,0,0
8.23537E-7,0.050031285,0.001864401,0.448751836,0,0
1.65086E-6,0.100162712,0.003733882,0.408125306,0,0
3.68587E-6,0.200282733,0.00831743,0.369652472,0,0
6.24891E-6,0.300587285,0.014060295,0.34948605,0,0
8.75043E-6,0.400002996,0.019633263,0.336270191,0,0
1.15424E-5,0.500108339,0.025816092,0.326578561,0,0
1.44612E-5,0.600629624,0.032238192,0.318942731,0,0
1.65723E-5,0.700284925,0.036856566,0.312677435,0,0
1.73294E-5,0.751047539,0.038507555,0.309740578,0,0
1.81473E-5,0.800643714,0.040287858,0.306999511,0,0
2.0315E-5,0.900981728,0.044990439,0.301908957,0,0
2.21816E-5,1.001009184,0.049021271,0.297307881,0,0
2.40897E-5,1.102154666,0.053124344,0.293000489,0,0
2.70896E-5,1.201648772,0.059539119,0.289182575,0,0
2.91684E-5,1.300253041,0.06395882,0.285756241,0,0
3.11444E-5,1.403041892,0.068140788,0.282427802,0,0
3.2955E-5,1.502590604,0.071956231,0.279393049,0,0
3.94547E-5,1.752138952,0.085524531,0.272638277,0.004587156,0
4.42983E-5,2.000175577,0.095506747,0.266862457,0.004587156,0
4.81175E-5,2.25414679,0.10330066,0.261478218,0.004587156,0
5.23302E-5,2.504952624,0.111819904,0.256583456,0.009174312,0
5.67838E-5,2.75564755,0.120738282,0.252080274,0.009174312,0
6.1139E-5,3.004624029,0.129372853,0.247968674,0.009174312,0
6.55123E-5,3.25178491,0.137958071,0.244150759,0.009174312,0
7.06655E-5,3.503673902,0.147965868,0.240528634,0.009174312,0
7.48876E-5,3.751224063,0.156078599,0.237200196,0.009174312,0
7.80139E-5,4.004021272,0.162035985,0.233969652,0.009174312,0
8.04242E-5,4.257194437,0.166600232,0.230837004,0.018348624,0
8.39145E-5,4.503085263,0.173165634,0.227900147,0.018348624,0
8.73608E-5,4.751869935,0.179597514,0.225061185,0.018348624,0
9.00935E-5,5.000107572,0.184662095,0.222320117,0.018348624,0
9.39505E-5,5.257065982,0.191757185,0.21957905,0.018348624,0
9.66669E-5,5.504601082,0.196716779,0.217033774,0.018348624,0
1.02355E-4,5.753235095,0.207004304,0.214586393,0.018348624,0
1.04777E-4,6.001735022,0.211343907,0.212236907,0.018348624,0
1.10359E-4,6.260398733,0.221257488,0.20988742,0.018348624,0
1.13523E-4,6.506527118,0.226820425,0.207733725,0.018348624,0
1.18346E-4,6.761247808,0.235224548,0.205580029,0.018348624,0
1.23395E-4,7.003024961,0.243924097,0.203622124,0.018348624,0
1.28292E-4,7.255995387,0.252267458,0.201664219,0.018348624,0
1.3077E-4,7.501904459,0.256455044,0.199804209,0.018348624,0
1.34018E-4,7.753146348,0.261907817,0.1979442,0.018348624,0
1.37174E-4,8.011471691,0.267166746,0.19608419,0.018348624,0
1.43012E-4,8.250109059,0.276797845,0.194419971,0.018348624,0
1.46359E-4,8.510470545,0.282262635,0.192657856,0.018348624,0
1.49371E-4,8.76197108,0.287144808,0.190993637,0.018348624,0
