x,y,species cloglog values
1.0,1.0,0.21172194
2.0,2.0,1.5389009E-5
3.0,3.0,2.2042723E-5
4.0,4.0,0.0016267792
5.0,5.0,4.2324414E-6
6.0,6.0,0.049603324
7.0,7.0,1.765614E-6
8.0,8.0,1.4269057E-7
9.0,9.0,0.025696883
10.0,10.0,1.8909057E-5
11.0,11.0,0.019021815
12.0,12.0,1.8728578E-6
13.0,13.0,0.26917526
14.0,14.0,0.33276176
15.0,15.0,7.1982664E-5
16.0,16.0,0.003954508
17.0,17.0,2.8981955E-5
18.0,18.0,0.6868856
19.0,19.0,0.0012148805
20.0,20.0,0.3678443
21.0,21.0,5.2767864E-6
22.0,22.0,1.6540356E-6
23.0,23.0,0.00296218
24.0,24.0,0.029035714
25.0,25.0,1.8083953E-4
26.0,26.0,0.26352996
27.0,27.0,2.5819668E-7
28.0,28.0,1.0394014E-5
29.0,29.0,0.33216885
30.0,30.0,2.588018E-5
31.0,31.0,0.10055266
32.0,32.0,1.1906313E-6
33.0,33.0,5.8218756E-8
34.0,34.0,0.012458506
35.0,35.0,0.27901962
36.0,36.0,5.759358E-5
37.0,37.0,2.7848934E-4
38.0,38.0,1.2083211E-6
39.0,39.0,8.603498E-8
40.0,40.0,0.029259391
41.0,41.0,0.09660546
42.0,42.0,0.42431286
43.0,43.0,6.3249456E-7
44.0,44.0,7.6590726E-7
45.0,45.0,0.02285655
46.0,46.0,1.6944912E-5
47.0,47.0,1.523675E-7
48.0,48.0,1.0920412E-6
49.0,49.0,5.1222546E-6
50.0,50.0,0.019993175
51.0,51.0,0.027237132
52.0,52.0,6.407805E-5
53.0,53.0,0.29770857
54.0,54.0,9.330763E-4
55.0,55.0,2.9534428E-6
56.0,56.0,0.0
57.0,57.0,5.3092977E-4
58.0,58.0,0.05572109
59.0,59.0,8.6108944E-4
60.0,60.0,1.9410647E-5
61.0,61.0,1.2869148E-7
62.0,62.0,0.003404701
63.0,63.0,7.789016E-5
64.0,64.0,5.4546728E-8
65.0,65.0,0.07084591
66.0,66.0,7.0644467E-4
67.0,67.0,0.004779495
68.0,68.0,1.3676928E-6
69.0,69.0,0.2526722
70.0,70.0,1.4859316E-7
71.0,71.0,0.4092326
72.0,72.0,2.2437654E-7
73.0,73.0,0.12647593
74.0,74.0,2.5309702E-5
75.0,75.0,3.3533575E-5
76.0,76.0,0.4601306
77.0,77.0,5.728277E-4
78.0,78.0,0.15646128
79.0,79.0,6.403003E-7
80.0,80.0,0.0013534162
81.0,81.0,6.2941166E-7
82.0,82.0,0.013699368
83.0,83.0,6.961847E-5
84.0,84.0,0.31255963
85.0,85.0,0.30027625
86.0,86.0,6.245833E-6
87.0,87.0,0.047040753
88.0,88.0,3.7722843E-5
89.0,89.0,3.8872568E-5
90.0,90.0,0.53654766
91.0,91.0,8.260969E-7
92.0,92.0,2.1292033E-4
93.0,93.0,1.8701994E-5
94.0,94.0,1.0378371E-6
95.0,95.0,0.6923922
96.0,96.0,2.612746E-6
97.0,97.0,4.167265E-5
98.0,98.0,1.3655711E-4
99.0,99.0,1.5358249E-7
100.0,100.0,2.721276E-5
101.0,101.0,1.976715E-5
102.0,102.0,1.0183573E-7
103.0,103.0,0.019466285
104.0,104.0,1.5541221E-7
105.0,105.0,0.66841125
106.0,106.0,0.014209422
107.0,107.0,9.176525E-7
108.0,108.0,3.3801878E-6
109.0,109.0,7.148002E-5
110.0,110.0,1.5270011E-7
111.0,111.0,0.022872344
112.0,112.0,0.043513887
113.0,113.0,2.8648114E-6
114.0,114.0,4.6714027E-7
115.0,115.0,0.3111007
116.0,116.0,1.4946189E-4
117.0,117.0,2.219157E-7
118.0,118.0,4.08306E-4
119.0,119.0,3.099368E-5
120.0,120.0,1.0629045E-6
121.0,121.0,0.050356194
122.0,122.0,7.255048E-4
123.0,123.0,0.1691605
124.0,124.0,1.9728671E-7
125.0,125.0,0.19502725
126.0,126.0,0.95285624
127.0,127.0,0.004434562
128.0,128.0,3.0848923E-8
129.0,129.0,0.008226152
130.0,130.0,7.01776E-7
131.0,131.0,2.8442958E-7
132.0,132.0,0.11825239
133.0,133.0,8.138485E-7
134.0,134.0,0.14360029
135.0,135.0,9.518045E-5
136.0,136.0,0.010813534
137.0,137.0,1.5216458E-6
138.0,138.0,2.4211881E-6
139.0,139.0,4.5984783E-4
140.0,140.0,2.153428E-7
141.0,141.0,0.31054488
142.0,142.0,4.9299405E-7
143.0,143.0,0.68823314
144.0,144.0,0.4799513
145.0,145.0,5.0116813E-7
146.0,146.0,1.897151E-4
147.0,147.0,1.02591075E-4
148.0,148.0,3.2033282E-4
149.0,149.0,3.4905988E-6
150.0,150.0,1.9224455E-5
151.0,151.0,0.2706305
152.0,152.0,4.5107754E-6
153.0,153.0,4.5557586E-6
154.0,154.0,0.08345839
155.0,155.0,8.6084816E-7
156.0,156.0,0.10901125
157.0,157.0,0.045733802
158.0,158.0,0.16274682
159.0,159.0,1.1407781E-5
160.0,160.0,7.882915E-5
161.0,161.0,2.5662096E-4
162.0,162.0,1.372561E-7
163.0,163.0,4.5232996E-6
164.0,164.0,1.1068357E-4
165.0,165.0,0.120194495
166.0,166.0,4.9065216E-4
167.0,167.0,2.7046559E-8
168.0,168.0,7.7394565E-4
169.0,169.0,1.9117417E-6
170.0,170.0,6.531098E-7
171.0,171.0,7.0651073E-4
172.0,172.0,2.7420517E-4
173.0,173.0,4.48257E-6
174.0,174.0,0.20620516
175.0,175.0,9.036815E-4
176.0,176.0,3.239795E-5
177.0,177.0,0.03224437
178.0,178.0,0.16530085
179.0,179.0,1.4588333E-6
180.0,180.0,2.1087812E-6
181.0,181.0,1.5385956E-6
182.0,182.0,0.32146487
183.0,183.0,2.6308248E-6
184.0,184.0,0.021111762
185.0,185.0,0.0036685641
186.0,186.0,6.3616235E-10
187.0,187.0,2.99627E-12
188.0,188.0,5.7251685E-7
189.0,189.0,0.010808439
190.0,190.0,0.17957437
191.0,191.0,9.475578E-4
192.0,192.0,2.0812146E-5
193.0,193.0,0.0044450453
194.0,194.0,0.12721993
195.0,195.0,0.3475983
196.0,196.0,0.046572298
197.0,197.0,0.2655302
198.0,198.0,0.01153357
199.0,199.0,3.7632498E-7
200.0,200.0,3.9842968E-7
201.0,201.0,3.4128334E-6
202.0,202.0,3.1726486E-7
203.0,203.0,7.89242E-6
204.0,204.0,9.899473E-8
205.0,205.0,2.6331708E-7
206.0,206.0,4.6347306E-4
207.0,207.0,6.689042E-5
208.0,208.0,2.1303858E-5
209.0,209.0,2.5504449E-5
210.0,210.0,0.0041713966
211.0,211.0,0.14461125
212.0,212.0,0.14274406
213.0,213.0,0.66531026
214.0,214.0,1.9481839E-5
215.0,215.0,1.0002576E-4
216.0,216.0,4.724631E-5
217.0,217.0,6.790395E-4
218.0,218.0,1.6727463E-6
219.0,219.0,0.005617328
220.0,220.0,0.45613298
221.0,221.0,9.027427E-8
222.0,222.0,5.7074076E-6
223.0,223.0,0.41337553
224.0,224.0,7.148323E-8
225.0,225.0,5.0511113E-7
226.0,226.0,4.5650457E-5
227.0,227.0,2.7402054E-4
228.0,228.0,1.2494717E-4
229.0,229.0,1.04541396E-4
230.0,230.0,1.9611649E-7
231.0,231.0,6.1528396E-4
232.0,232.0,0.33263797
233.0,233.0,0.65986294
234.0,234.0,1.7541524E-14
235.0,235.0,7.6468757E-7
236.0,236.0,1.1737995E-5
237.0,237.0,3.375497E-7
238.0,238.0,6.561996E-5
239.0,239.0,0.002575255
240.0,240.0,0.16559814
241.0,241.0,0.535655
242.0,242.0,1.920979E-5
243.0,243.0,2.9641506E-6
244.0,244.0,2.4336583E-7
245.0,245.0,0.25987774
246.0,246.0,0.020256883
247.0,247.0,2.0545317E-6
248.0,248.0,6.327207E-7
249.0,249.0,6.5301792E-6
250.0,250.0,1.0546095E-5
251.0,251.0,0.0021963168
252.0,252.0,5.5589203E-6
253.0,253.0,1.1791965E-6
254.0,254.0,2.1114353E-8
255.0,255.0,4.0698706E-6
256.0,256.0,0.022259135
257.0,257.0,0.001033921
258.0,258.0,2.220446E-16
259.0,259.0,0.11656364
260.0,260.0,1.085451E-6
261.0,261.0,0.26744065
262.0,262.0,1.1640683E-6
263.0,263.0,0.004062836
264.0,264.0,2.2964389E-6
265.0,265.0,5.629332E-6
266.0,266.0,3.8079256E-6
267.0,267.0,0.014263734
268.0,268.0,4.5116893E-5
269.0,269.0,0.2356833
270.0,270.0,1.6221293E-6
271.0,271.0,1.4141633E-6
272.0,272.0,1.6902227E-7
273.0,273.0,3.7132706E-6
274.0,274.0,6.478402E-5
275.0,275.0,0.91614085
276.0,276.0,2.1021913E-5
277.0,277.0,5.580633E-8
278.0,278.0,0.23868237
279.0,279.0,0.100433804
280.0,280.0,0.0029796867
281.0,281.0,4.3285017E-5
282.0,282.0,2.0382902E-5
283.0,283.0,8.629749E-7
284.0,284.0,0.0047261347
285.0,285.0,5.463551E-5
286.0,286.0,1.7365855E-7
287.0,287.0,3.2234504E-6
288.0,288.0,4.0052354E-4
289.0,289.0,0.005191348
290.0,290.0,0.24647497
291.0,291.0,5.9223544E-7
292.0,292.0,3.1606887E-5
293.0,293.0,2.2435363E-5
294.0,294.0,0.02268446
295.0,295.0,8.450503E-6
296.0,296.0,0.6589013
297.0,297.0,3.1355422E-4
298.0,298.0,1.3919211E-4
299.0,299.0,1.6199614E-5
300.0,300.0,0.9601646
301.0,301.0,0.23463923
302.0,302.0,6.0423287E-7
303.0,303.0,5.70833E-6
304.0,304.0,8.075357E-6
305.0,305.0,8.241142E-5
306.0,306.0,4.600493E-5
307.0,307.0,1.4493619E-4
308.0,308.0,8.1448496E-4
309.0,309.0,0.41901773
310.0,310.0,5.911325E-7
311.0,311.0,0.08306094
312.0,312.0,4.868219E-7
313.0,313.0,9.240311E-4
314.0,314.0,0.46158427
315.0,315.0,9.926022E-8
316.0,316.0,0.35875693
317.0,317.0,9.4594805E-5
318.0,318.0,5.974757E-7
319.0,319.0,0.0032070628
320.0,320.0,1.19207825E-5
321.0,321.0,0.25752595
322.0,322.0,0.009775947
323.0,323.0,8.190512E-6
324.0,324.0,6.999035E-6
325.0,325.0,1.3345222E-6
326.0,326.0,0.0018597333
327.0,327.0,9.228226E-7
328.0,328.0,3.095086E-7
329.0,329.0,0.06567994
330.0,330.0,3.5977387E-6
331.0,331.0,0.116847746
332.0,332.0,0.43679786
333.0,333.0,3.5714492E-4
334.0,334.0,1.7760718E-5
335.0,335.0,2.3354361E-5
336.0,336.0,2.58198E-8
337.0,337.0,0.44632956
338.0,338.0,5.863667E-4
339.0,339.0,0.23657233
340.0,340.0,1.9890848E-7
341.0,341.0,2.8589986E-5
342.0,342.0,0.0012669398
343.0,343.0,6.8164757E-4
344.0,344.0,3.4721885E-5
345.0,345.0,0.6258442
346.0,346.0,1.8649605E-6
347.0,347.0,0.22220953
