X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,7.365702790995407E-4,85.04699443928052,0.8195423020016224
3.0,3.0,train,7.29328684968152E-4,83.0057055642555,0.8164787487472371
4.0,4.0,train,7.153881327821735E-4,80.25072882149742,0.8104340089279427
5.0,5.0,train,7.536542451893144E-4,89.53065461059974,0.8265685601293402
6.0,6.0,train,7.005855043397162E-4,76.93864549658116,0.8037973709562146
7.0,7.0,train,5.849269032905519E-4,54.74250329062299,0.7432732556921052
9.0,9.0,train,7.327148309147925E-4,84.47580171512465,0.8179176768882928
10.0,10.0,train,7.618646001537985E-4,91.78687358818175,0.8298473010429485
12.0,12.0,train,7.703275763180644E-4,99.06365319056272,0.8331620617959686
13.0,13.0,train,7.701714251434151E-4,98.4821870715594,0.8331014894863009
15.0,15.0,train,6.220092651951686E-4,61.4207672376091,0.7644768479959752
16.0,16.0,train,6.102390262660042E-4,58.638121656024545,0.7579435998763899
17.0,17.0,train,6.044187961427838E-4,57.443426662132055,0.7546463393494057
18.0,18.0,train,5.969846230900998E-4,56.61074909540774,0.7503693463713714
19.0,19.0,train,5.93888257934815E-4,56.098695318205976,0.7485660410206249
20.0,20.0,train,4.217776564288899E-4,33.51014548514423,0.6248690653393787
21.0,21.0,train,4.10718116371007E-4,31.967796004336602,0.6150996207446273
22.0,22.0,train,1.3704799408570162E-4,6.574951948895753,0.27282412053510363
23.0,23.0,train,4.407408340861446E-4,35.90980878616542,0.6410465873431161
24.0,24.0,train,4.381969871758378E-4,35.53762787998737,0.6389176198286992
25.0,25.0,train,6.303825439244019E-4,62.43224880388917,0.7690169385153958
26.0,26.0,train,5.287129116679532E-4,46.69456742704406,0.7074342522006514
27.0,27.0,train,5.380235026224336E-4,48.28725916523196,0.7136984370059019
28.0,28.0,train,5.701622254793914E-4,52.94276368554807,0.734308784320979
29.0,29.0,train,6.738753419590941E-4,71.59127822516973,0.7912287005466769
30.0,30.0,train,6.137870575597752E-4,59.26361170317988,0.7599318429377535
31.0,31.0,train,6.266014444746032E-4,62.02748704805315,0.7669777211255323
35.0,35.0,train,2.7738695376787237E-4,17.634020066752047,0.47524516870082045
36.0,36.0,train,4.5858880233666115E-4,38.512870268693476,0.6556348578721041
37.0,37.0,train,4.524438919047852E-4,37.86210668022517,0.6506804066963291
39.0,39.0,train,5.238519902706219E-4,45.93377118614506,0.7041095452988082
41.0,41.0,train,1.0678234894890449E-4,4.557394645322648,0.21981971564241953
43.0,43.0,train,7.458616137094768E-4,87.89487258122848,0.823398213293433
44.0,44.0,train,6.646095957093448E-4,69.20967861928463,0.7866830915693366
47.0,47.0,train,6.93315315902614E-4,75.01183460228054,0.8004532590236455
50.0,50.0,train,7.400569614176133E-4,86.31943879612989,0.8209990491683399
51.0,51.0,train,7.281190658049598E-4,82.55878715227111,0.8159619743327099
52.0,52.0,train,7.501833051586363E-4,88.6729317531891,0.8251635370843343
54.0,54.0,train,6.807549158197392E-4,72.69567959269482,0.7945409227807807
56.0,56.0,train,6.900222341021498E-4,74.27476880434378,0.7989198226270783
57.0,57.0,train,4.073050364939944E-4,31.64619512451333,0.612033607314858
58.0,58.0,train,1.1196285408228052E-4,4.924825412495927,0.2291589200830796
59.0,59.0,train,6.608608140825063E-4,68.27776039501087,0.7848160053277476
60.0,60.0,train,6.574475087383939E-4,67.46629725117657,0.7831017935223041
62.0,62.0,train,5.212041845022703E-5,2.2477067218255753,0.11410875038215484
63.0,63.0,train,7.509974006137086E-4,88.86113412528475,0.8254940981494061
65.0,65.0,train,1.2092320977165279E-4,5.61800992555225,0.24504914721421422
67.0,67.0,train,6.991635965239347E-4,76.75466589818616,0.8031477658007001
68.0,68.0,train,6.979038538191048E-4,76.28794452048466,0.8025704499285278
69.0,69.0,train,6.122742100835081E-4,59.057533655292836,0.7590860796413738
72.0,72.0,train,3.611225343371666E-4,26.5950459653461,0.5680644897696254
73.0,73.0,train,2.1580784139850985E-4,12.472937067508335,0.39448442871841394
11.0,11.0,test,7.6320734067472E-4,92.29691329126375,0.8303775850777831
8.0,8.0,test,7.126919796161248E-4,79.5144321487177,0.809242158043817
1.0,1.0,test,7.692682495620553E-4,96.97301912643405,0.832750708633842
45.0,45.0,test,6.784455667003947E-4,72.47248462282934,0.7934349704215424
46.0,46.0,test,6.755643373750361E-4,72.04098946477798,0.7920467926432881
38.0,38.0,test,7.704040308034757E-4,99.51788156356749,0.833191711094947
14.0,14.0,test,6.297568825363103E-4,62.37844601358885,0.7686807440259502
53.0,53.0,test,4.563821736989514E-5,1.8863730996884462,0.10065837516987397
66.0,66.0,test,1.3391282458885724E-4,6.3487077602038795,0.2675050066672089
64.0,64.0,test,1.9873780660607383E-6,0.13849083295835857,0.004609278092329805
42.0,42.0,test,1.0144959215264828E-4,4.239758500188891,0.2100878370260102
70.0,70.0,test,6.174681486069858E-4,60.35738207694204,0.7619773901540351
33.0,33.0,test,3.40348908655665E-4,24.188262139881946,0.5466939772102779
48.0,48.0,test,7.049438461794207E-4,77.51872774843277,0.8057751745767219
71.0,71.0,test,3.9712062870517954E-4,30.439551173923945,0.602738888810378
32.0,32.0,test,6.98433017560095E-4,76.51190814689176,0.8028131614451051
49.0,49.0,test,7.20860137475818E-4,81.27941679633237,0.8128300973897025
34.0,34.0,test,3.5820223432397863E-4,26.207183232872474,0.5651222599906716
40.0,40.0,test,1.033351296330172E-4,4.344308090480737,0.21354259604325865
61.0,61.0,test,6.211627923662352E-6,0.3130474748381083,0.014336029503596803
55.0,55.0,test,6.934851151439166E-4,75.05483052678024,0.80053200890592
