x,y,species cloglog values
1.0,1.0,0.0024772827
2.0,2.0,0.66822857
3.0,3.0,0.3470829
4.0,4.0,0.0015296184
5.0,5.0,0.0039959685
6.0,6.0,6.253597E-4
7.0,7.0,0.7014911
8.0,8.0,0.0019964033
9.0,9.0,2.7415884E-4
10.0,10.0,0.5527386
11.0,11.0,0.0012991197
12.0,12.0,0.1248482
13.0,13.0,0.015815167
14.0,14.0,0.0025685504
15.0,15.0,4.894955E-5
16.0,16.0,2.0803207E-6
17.0,17.0,0.0014497307
18.0,18.0,0.57967913
19.0,19.0,7.4974305E-6
20.0,20.0,0.16514185
21.0,21.0,1.7943553E-4
22.0,22.0,3.712821E-4
23.0,23.0,0.06465832
24.0,24.0,5.561587E-5
25.0,25.0,0.7682434
26.0,26.0,0.53563017
27.0,27.0,0.0026510363
28.0,28.0,0.64239734
29.0,29.0,8.927951E-4
30.0,30.0,2.856726E-4
31.0,31.0,0.7284482
32.0,32.0,3.4322342E-4
33.0,33.0,9.623893E-6
34.0,34.0,0.5725218
35.0,35.0,0.017455347
36.0,36.0,0.41108537
37.0,37.0,2.9890132E-4
38.0,38.0,2.0884427E-5
39.0,39.0,0.008340077
40.0,40.0,0.0013516245
41.0,41.0,0.68010104
42.0,42.0,8.723324E-6
43.0,43.0,0.29451838
44.0,44.0,0.31504115
45.0,45.0,0.0013553877
46.0,46.0,0.81189466
47.0,47.0,0.024676073
48.0,48.0,0.028956246
49.0,49.0,1.1244867E-4
50.0,50.0,0.14200303
51.0,51.0,4.976004E-5
52.0,52.0,9.267741E-4
53.0,53.0,0.8180048
54.0,54.0,0.0030764823
55.0,55.0,0.42556134
56.0,56.0,9.3753263E-4
57.0,57.0,0.763564
58.0,58.0,0.0015520295
59.0,59.0,0.0010989279
60.0,60.0,9.7473E-7
61.0,61.0,2.2157694E-6
62.0,62.0,0.051348157
63.0,63.0,8.436063E-5
64.0,64.0,0.5797813
65.0,65.0,4.9171987E-5
66.0,66.0,0.50163174
67.0,67.0,0.6289615
68.0,68.0,8.638026E-5
69.0,69.0,0.0030810481
70.0,70.0,0.69565123
71.0,71.0,0.013194998
72.0,72.0,1.2498148E-4
73.0,73.0,3.8733368E-5
