Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.25677E-10,0.000000043,0.000001052,1,0,0
4.45471E-10,0.00000013,0.000001101,0.999801035,0,0
4.73782E-10,0.000000272,0.000001171,0.999502587,0,0
5.29071E-10,0.000001021,0.000001308,0.998010346,0,0
6.65055E-10,0.000002504,0.000001644,0.995622762,0,0
9.05949E-10,0.000010085,0.000002239,0.986271389,0,0
1.17535E-9,0.000025061,0.000002905,0.971746916,0,0
1.65492E-9,0.000050031,0.00000409,0.954038997,0,0
2.39487E-9,0.000100078,0.000005919,0.929864704,0,0
4.36644E-9,0.00025039,0.000010792,0.88460008,0,0
7.11123E-9,0.000500405,0.000017576,0.839633904,0,0
1.35713E-8,0.001001017,0.000033542,0.790191007,0,0
2.97974E-8,0.002501941,0.000073645,0.719856745,0,0
6.18068E-8,0.005002671,0.000152751,0.661261441,0,0
1.23677E-7,0.010009927,0.000305635,0.605949065,0,0
4.42817E-7,0.025037065,0.001093875,0.544866693,0,0
7.18891E-7,0.050011142,0.001775247,0.505471548,0,0
1.06049E-6,0.100008618,0.002617695,0.444090728,0,0
2.907E-6,0.200228522,0.007159234,0.386788699,0,0.047619048
5.11158E-6,0.300300388,0.012554408,0.361122165,0,0.047619048
7.1209E-6,0.400392169,0.017446158,0.344707521,0,0.095238095
1.00163E-5,0.500777126,0.024452613,0.332869081,0,0.095238095
1.29719E-5,0.60020779,0.031553145,0.324214087,0,0.095238095
1.58404E-5,0.700819773,0.038395007,0.317349781,0,0.095238095
1.72192E-5,0.750444473,0.041666464,0.3143653,0,0.095238095
1.8282E-5,0.80051372,0.044180496,0.311579785,0,0.095238095
2.07763E-5,0.900214105,0.050054955,0.306506168,0,0.095238095
2.32835E-5,1.001646958,0.055923252,0.301929964,0,0.095238095
2.58527E-5,1.100242445,0.061899284,0.297950657,0,0.095238095
2.83584E-5,1.200663099,0.06769123,0.294269797,0,0.095238095
3.10637E-5,1.300837769,0.073904229,0.290887386,0,0.095238095
3.30516E-5,1.400028509,0.078443237,0.287803422,0,0.095238095
3.49498E-5,1.501851566,0.082756619,0.284818942,0,0.095238095
4.13153E-5,1.750855711,0.097074903,0.278352567,0,0.095238095
4.7066E-5,2.00006698,0.109817934,0.272781536,0,0.142857143
5.11071E-5,2.250087129,0.118664784,0.267707919,0,0.142857143
5.44902E-5,2.503307388,0.126003438,0.26293275,0.019230769,0.142857143
5.96247E-5,2.754724591,0.137024886,0.258555511,0.019230769,0.142857143
6.509E-5,3.005560374,0.148603629,0.254576204,0.019230769,0.142857143
7.10344E-5,3.251287769,0.161021291,0.250994827,0.019230769,0.142857143
7.77617E-5,3.505118451,0.174855915,0.247612415,0.019230769,0.142857143
8.27045E-5,3.754913471,0.184875025,0.244528452,0.019230769,0.142857143
8.7849E-5,4.002859154,0.195173911,0.241643454,0.019230769,0.142857143
9.21169E-5,4.254816379,0.203619166,0.238857939,0.019230769,0.142857143
9.82896E-5,4.502711678,0.215676904,0.236271389,0.019230769,0.19047619
1.02875E-4,4.755412886,0.224516368,0.233784322,0.038461538,0.238095238
1.07034E-4,5.007707528,0.232446663,0.231396737,0.038461538,0.238095238
1.13076E-4,5.250066299,0.243824182,0.229208118,0.057692308,0.238095238
1.18153E-4,5.505824939,0.253254077,0.227019499,0.076923077,0.238095238
1.21433E-4,5.757245885,0.25928252,0.224930362,0.076923077,0.238095238
1.25981E-4,6.006637172,0.26756139,0.222940708,0.076923077,0.238095238
1.29431E-4,6.262120849,0.273780858,0.220951055,0.076923077,0.285714286
1.34403E-4,6.512921258,0.282650546,0.219060883,0.076923077,0.285714286
1.37736E-4,6.757942262,0.288536239,0.217270195,0.096153846,0.285714286
1.41107E-4,7.009072518,0.294439229,0.215479507,0.096153846,0.285714286
1.44769E-4,7.251880596,0.300797282,0.213788301,0.096153846,0.285714286
1.47054E-4,7.51438772,0.304734851,0.211997612,0.096153846,0.285714286
1.49053E-4,7.750870575,0.30816159,0.210405889,0.096153846,0.285714286
1.51881E-4,8.006902544,0.31298003,0.208714684,0.096153846,0.285714286
1.55606E-4,8.253248647,0.319276062,0.207122961,0.096153846,0.285714286
1.58472E-4,8.504612079,0.324081939,0.205531238,0.096153846,0.285714286
1.60607E-4,8.759668156,0.327638457,0.203939515,0.096153846,0.285714286
1.62605E-4,9.002347247,0.330950583,0.202447274,0.096153846,0.285714286
1.65446E-4,9.264982487,0.335632358,0.200855551,0.096153846,0.285714286
1.69255E-4,9.515784639,0.341857724,0.199363311,0.096153846,0.285714286
1.72302E-4,9.754968282,0.346795134,0.197970553,0.096153846,0.285714286
1.76546E-4,10.016984486,0.353610914,0.196478313,0.096153846,0.285714286
1.7871E-4,10.265723226,0.357059946,0.195085555,0.096153846,0.285714286
1.81902E-4,10.500435971,0.362111966,0.19379228,0.096153846,0.285714286
1.84564E-4,10.756980222,0.366295642,0.192399522,0.096153846,0.285714286
1.86547E-4,11.0169444,0.369392647,0.191006765,0.096153846,0.285714286
1.89354E-4,11.261813595,0.373753068,0.18971349,0.096153846,0.285714286
1.94112E-4,11.510984128,0.381074004,0.188420215,0.096153846,0.285714286
1.96807E-4,11.765116881,0.385183973,0.18712694,0.096153846,0.285714286
1.99555E-4,12.003253417,0.389345388,0.185933148,0.096153846,0.285714286
2.03424E-4,12.264957983,0.395156932,0.184639873,0.096153846,0.285714286
2.06324E-4,12.511174104,0.399476957,0.18344608,0.115384615,0.285714286
2.09713E-4,12.760882752,0.404486368,0.182252288,0.115384615,0.285714286
2.13674E-4,13.014932451,0.410287838,0.181058496,0.115384615,0.285714286
2.16352E-4,13.251551017,0.41417866,0.179964186,0.115384615,0.285714286
2.20733E-4,13.514241706,0.420486606,0.178770394,0.115384615,0.285714286
2.24099E-4,13.758435209,0.425288325,0.177676084,0.115384615,0.285714286
2.26184E-4,14.006134589,0.428242817,0.176581775,0.115384615,0.285714286
2.27833E-4,14.25601038,0.430568731,0.175487465,0.115384615,0.285714286
2.30563E-4,14.508181115,0.434397048,0.174393156,0.115384615,0.285714286
2.33416E-4,14.763439822,0.438371057,0.173298846,0.115384615,0.285714286
2.35117E-4,15.021206144,0.440728583,0.172204536,0.115384615,0.285714286
2.37548E-4,15.257416025,0.44407766,0.17120971,0.115384615,0.285714286
2.43491E-4,15.521699271,0.452184585,0.1701154,0.115384615,0.285714286
2.47052E-4,15.76700786,0.45698513,0.169120573,0.115384615,0.285714286
2.49809E-4,16.015540738,0.460672771,0.168125746,0.115384615,0.285714286
2.51545E-4,16.266372233,0.462981941,0.167130919,0.115384615,0.285714286
2.54182E-4,16.51928139,0.466469855,0.166136092,0.115384615,0.285714286
2.58384E-4,16.750522511,0.471983431,0.165240748,0.115384615,0.285714286
2.6319E-4,17.012061495,0.478217846,0.164245921,0.115384615,0.285714286
2.65548E-4,17.250140317,0.481249478,0.163350577,0.115384615,0.285714286
2.67994E-4,17.516739109,0.484377041,0.16235575,0.115384615,0.285714286
2.70258E-4,17.759231258,0.487253258,0.161460406,0.134615385,0.285714286
2.73048E-4,18.003995626,0.490777326,0.160565062,0.134615385,0.285714286
2.74595E-4,18.250522436,0.492720711,0.159669717,0.134615385,0.285714286
2.77202E-4,18.526924644,0.495978864,0.158674891,0.134615385,0.285714286
2.80266E-4,18.777818074,0.499781981,0.157779546,0.134615385,0.285714286
2.82058E-4,19.002992821,0.50199189,0.156983685,0.134615385,0.285714286
2.84069E-4,19.257801952,0.504460768,0.156088341,0.134615385,0.285714286
2.85919E-4,19.514331695,0.506722406,0.155192996,0.134615385,0.285714286
2.87736E-4,19.772697657,0.508931817,0.154297652,0.134615385,0.285714286
2.90071E-4,20.003774131,0.511757787,0.153501791,0.134615385,0.285714286
2.94045E-4,20.266388584,0.516530134,0.152606446,0.134615385,0.285714286
2.96523E-4,20.502562527,0.519482606,0.151810585,0.134615385,0.285714286
3.01293E-4,20.77154734,0.525114233,0.150915241,0.134615385,0.285714286
3.04097E-4,21.013806175,0.528394085,0.150119379,0.134615385,0.285714286
3.07005E-4,21.258190528,0.531771557,0.149323518,0.134615385,0.285714286
3.10474E-4,21.505646427,0.53576929,0.148527656,0.134615385,0.285714286
3.13657E-4,21.755775187,0.539407175,0.147731795,0.134615385,0.285714286
3.15555E-4,22.007703286,0.541562501,0.146935933,0.134615385,0.285714286
3.18446E-4,22.261455418,0.544826825,0.146140072,0.134615385,0.285714286
3.21322E-4,22.517593986,0.548050924,0.14534421,0.134615385,0.285714286
3.23947E-4,22.775984962,0.550973485,0.144548349,0.134615385,0.285714286
3.26652E-4,23.003983646,0.553965476,0.14385197,0.134615385,0.285714286
3.31636E-4,23.267586358,0.559426164,0.143056108,0.134615385,0.333333333
3.3444E-4,23.500903277,0.562469441,0.142359729,0.134615385,0.333333333
3.3614E-4,23.769279726,0.564303905,0.141563868,0.153846154,0.333333333
3.38214E-4,24.005517289,0.566530788,0.140867489,0.153846154,0.333333333
3.40582E-4,24.276833673,0.569060921,0.140071628,0.153846154,0.333333333
3.42368E-4,24.516173267,0.57095866,0.139375249,0.153846154,0.333333333
3.43206E-4,24.756237194,0.571846241,0.13867887,0.153846154,0.333333333
3.46643E-4,25.032379471,0.575468369,0.137883008,0.153846154,0.380952381
3.47724E-4,25.275495842,0.576601727,0.13718663,0.153846154,0.380952381
3.49115E-4,25.519397508,0.578054136,0.136490251,0.153846154,0.380952381
3.5075E-4,25.764643759,0.579755887,0.135793872,0.153846154,0.380952381
3.51435E-4,26.010450038,0.58046699,0.135097493,0.153846154,0.380952381
3.54534E-4,26.257711797,0.583667681,0.134401114,0.153846154,0.380952381
3.57149E-4,26.506985876,0.586350524,0.133704735,0.153846154,0.380952381
3.58619E-4,26.757696857,0.587850723,0.133008357,0.153846154,0.380952381
3.59482E-4,27.009030703,0.588728661,0.132311978,0.153846154,0.380952381
3.61321E-4,27.261375368,0.590593485,0.131615599,0.153846154,0.380952381
3.64661E-4,27.515300856,0.593959784,0.13091922,0.153846154,0.380952381
3.6762E-4,27.771800829,0.596918405,0.130222841,0.153846154,0.380952381
3.6973E-4,28.029925007,0.599014826,0.129526462,0.153846154,0.428571429
3.7125E-4,28.25214316,0.600518902,0.128929566,0.153846154,0.428571429
3.73323E-4,28.512909649,0.602560634,0.128233187,0.153846154,0.428571429
3.75288E-4,28.775081911,0.604486119,0.127536809,0.153846154,0.428571429
3.77219E-4,29.000768833,0.606368441,0.126939912,0.153846154,0.428571429
3.79969E-4,29.265754769,0.609035091,0.126243534,0.173076923,0.428571429
3.81689E-4,29.532405076,0.610693404,0.125547155,0.173076923,0.428571429
3.8366E-4,29.762186772,0.612585568,0.124950259,0.173076923,0.428571429
3.85912E-4,30.031393187,0.61473624,0.12425388,0.173076923,0.428571429
3.88044E-4,30.263617139,0.616760599,0.123656984,0.173076923,0.428571429
3.89656E-4,30.535968553,0.618284721,0.122960605,0.173076923,0.428571429
3.91388E-4,30.770545975,0.619915336,0.122363709,0.173076923,0.428571429
3.92464E-4,31.005705834,0.620924975,0.121766813,0.192307692,0.428571429
3.94471E-4,31.281264836,0.622800607,0.121070434,0.192307692,0.428571429
3.96838E-4,31.518854963,0.625001241,0.120473538,0.192307692,0.428571429
3.97233E-4,31.75709753,0.625367209,0.119876641,0.192307692,0.428571429
3.99109E-4,32.036142802,0.627099642,0.119180263,0.192307692,0.428571429
4.01447E-4,32.276186799,0.629248399,0.118583366,0.192307692,0.428571429
4.02923E-4,32.517688351,0.630598729,0.11798647,0.211538462,0.428571429
4.04105E-4,32.759794273,0.631676363,0.117389574,0.211538462,0.428571429
4.05696E-4,33.002750449,0.633122164,0.116792678,0.211538462,0.428571429
4.07353E-4,33.287464814,0.634621174,0.116096299,0.211538462,0.428571429
4.09068E-4,33.532563308,0.636167195,0.115499403,0.211538462,0.428571429
4.10435E-4,33.778628802,0.637393928,0.114902507,0.211538462,0.428571429
4.1152E-4,34.025344776,0.638365436,0.114305611,0.211538462,0.428571429
4.14665E-4,34.273235407,0.641165687,0.113708715,0.211538462,0.428571429
4.16414E-4,34.522679157,0.642713062,0.113111819,0.211538462,0.428571429
4.184E-4,34.773203097,0.644462238,0.112514922,0.230769231,0.428571429
4.18797E-4,35.02438344,0.644811571,0.111918026,0.25,0.428571429
4.20066E-4,35.276128094,0.645923619,0.11132113,0.25,0.428571429
4.21774E-4,35.528586927,0.647415533,0.110724234,0.25,0.428571429
4.22523E-4,35.781854226,0.64806693,0.110127338,0.25,0.428571429
4.23313E-4,36.035691591,0.648753905,0.109530442,0.25,0.428571429
4.25017E-4,36.290306603,0.650230327,0.108933546,0.25,0.428571429
4.25981E-4,36.503039732,0.651062691,0.108436132,0.25,0.428571429
4.27678E-4,36.759053546,0.652522723,0.107839236,0.25,0.428571429
4.29269E-4,37.01629819,0.653886732,0.10724234,0.25,0.428571429
4.32555E-4,37.275083556,0.656686031,0.106645444,0.269230769,0.428571429
4.34946E-4,37.535860097,0.658708785,0.106048548,0.288461538,0.428571429
4.36137E-4,37.753603989,0.659712429,0.105551134,0.288461538,0.428571429
4.3701E-4,38.015441924,0.660445782,0.104954238,0.288461538,0.428571429
4.39444E-4,38.27875662,0.66248231,0.104357342,0.288461538,0.428571429
4.40616E-4,38.542801183,0.663458421,0.103760446,0.288461538,0.428571429
4.42454E-4,38.763811913,0.664983894,0.103263032,0.288461538,0.428571429
4.43518E-4,39.029597359,0.665863958,0.102666136,0.288461538,0.428571429
4.44953E-4,39.251788778,0.66704711,0.102168723,0.288461538,0.428571429
4.45367E-4,39.518908658,0.667387289,0.101571827,0.288461538,0.428571429
4.46989E-4,39.786787375,0.66871823,0.10097493,0.288461538,0.428571429
4.48199E-4,40.010630941,0.669707273,0.100477517,0.288461538,0.428571429
4.49209E-4,40.279863494,0.670530646,0.099880621,0.288461538,0.428571429
4.5029E-4,40.504744685,0.671410186,0.099383207,0.288461538,0.428571429
4.51743E-4,40.775346024,0.672588069,0.098786311,0.288461538,0.428571429
4.53909E-4,41.001801776,0.674336044,0.098288898,0.288461538,0.428571429
4.5618E-4,41.274840623,0.67615859,0.097692002,0.288461538,0.428571429
4.57401E-4,41.503296831,0.677134967,0.097194588,0.288461538,0.428571429
4.60145E-4,41.778785135,0.679317477,0.096597692,0.288461538,0.428571429
4.61901E-4,42.009386664,0.680705603,0.096100279,0.288461538,0.428571429
4.64306E-4,42.287412482,0.682598298,0.095503382,0.288461538,0.428571429
4.65596E-4,42.51997032,0.683608385,0.095005969,0.288461538,0.428571429
4.66973E-4,42.753169867,0.684683416,0.094508556,0.288461538,0.428571429
4.69609E-4,43.034158864,0.68673159,0.093911659,0.288461538,0.428571429
4.70294E-4,43.269149316,0.68726134,0.093414246,0.288461538,0.428571429
4.71454E-4,43.504593732,0.688156331,0.092916832,0.288461538,0.428571429
4.74268E-4,43.78842844,0.69031821,0.092319936,0.288461538,0.428571429
4.75227E-4,44.025823817,0.691050799,0.091822523,0.288461538,0.428571429
4.75763E-4,44.263632895,0.691460204,0.091325109,0.288461538,0.428571429
4.7852E-4,44.502309757,0.693555178,0.090827696,0.288461538,0.428571429
4.80825E-4,44.790135203,0.695296436,0.0902308,0.288461538,0.428571429
4.82204E-4,45.03101277,0.696333083,0.089733386,0.288461538,0.428571429
4.83518E-4,45.272539635,0.697317958,0.089235973,0.288461538,0.428571429
4.84507E-4,45.51461643,0.698056417,0.088738559,0.288461538,0.428571429
4.87629E-4,45.75779496,0.700377675,0.088241146,0.288461538,0.428571429
4.89348E-4,46.001983761,0.701648028,0.087743733,0.288461538,0.428571429
4.91552E-4,46.296302175,0.703268561,0.087146836,0.288461538,0.428571429
4.91945E-4,46.542205775,0.703557169,0.086649423,0.288461538,0.428571429
4.935E-4,46.78870792,0.704694408,0.08615201,0.307692308,0.428571429
4.94478E-4,47.035723199,0.705406977,0.085654596,0.307692308,0.428571429
4.95726E-4,47.283284972,0.706314376,0.085157183,0.307692308,0.428571429
4.96503E-4,47.531361216,0.706878054,0.084659769,0.307692308,0.428571429
4.97206E-4,47.779754664,0.707386897,0.084162356,0.307692308,0.428571429
4.99023E-4,48.028839636,0.70869778,0.083664942,0.326923077,0.428571429
5.01701E-4,48.278815939,0.710619487,0.083167529,0.326923077,0.428571429
5.02304E-4,48.529862752,0.711050835,0.082670115,0.326923077,0.428571429
5.0416E-4,48.781470904,0.712373257,0.082172702,0.326923077,0.428571429
5.05636E-4,49.033971872,0.713420382,0.081675288,0.326923077,0.428571429
5.06434E-4,49.287016514,0.713985023,0.081177875,0.346153846,0.428571429
5.0784E-4,49.540703251,0.714977233,0.080680462,0.346153846,0.428571429
5.08531E-4,49.794842492,0.715463497,0.080183048,0.346153846,0.428571429
5.10389E-4,50.049636552,0.716767377,0.079685635,0.346153846,0.428571429
