Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.64948E-13,0.000000001,0.000000001,0.985475527,0,0
1.61393E-12,0.000000003,0.000000002,0.98408277,0,0
6.51505E-12,0.00000001,0.000000009,0.982093116,0,0
1.07651E-11,0.000000026,0.000000015,0.980302427,0,0
3.16108E-11,0.000000102,0.000000044,0.97632312,0,0
4.53338E-11,0.000000254,0.000000063,0.972542778,0,0
7.65962E-11,0.000001006,0.000000107,0.960206924,0,0
1.02759E-10,0.000002504,0.000000143,0.94379228,0,0
1.97936E-10,0.000010003,0.000000275,0.892956626,0,0
4.22022E-10,0.000025015,0.000000587,0.842319936,0,0
7.64865E-10,0.00005007,0.000001064,0.799840828,0,0
1.41858E-9,0.000100085,0.000001973,0.753183446,0,0
3.54373E-9,0.000250119,0.000004928,0.690509351,0,0
7.0138E-9,0.000500472,0.000009754,0.64126542,0,0
1.42793E-8,0.00100072,0.000019858,0.593613211,0,0
3.43509E-8,0.002503117,0.000047769,0.527258257,0,0
7.60063E-8,0.005002496,0.000105694,0.480302427,0,0
1.74164E-7,0.010000052,0.000242175,0.437226423,0,0
4.61255E-7,0.025006487,0.000641245,0.386788699,0,0
9.37018E-7,0.050040233,0.001302229,0.350477517,0,0
2.41138E-6,0.100212467,0.003347802,0.318344608,0,0
5.55767E-6,0.200031173,0.00769906,0.292280143,0,0
8.52965E-6,0.300562663,0.011791806,0.278054119,0,0
1.1197E-5,0.400925433,0.015450616,0.267906884,0,0.047619048
1.34887E-5,0.500953867,0.018583427,0.259749304,0,0.047619048
1.59764E-5,0.600780889,0.021972825,0.252984481,0,0.047619048
1.9196E-5,0.701395126,0.026342083,0.247313967,0,0.047619048
2.03108E-5,0.750583477,0.027850342,0.2448269,0,0.047619048
2.19804E-5,0.801438791,0.030104876,0.242439316,0,0.047619048
2.47523E-5,0.901066536,0.0338364,0.23816156,0,0.142857143
2.72351E-5,1.002387344,0.037166618,0.234281735,0,0.142857143
3.08557E-5,1.102152291,0.042002264,0.230899324,0,0.142857143
3.35242E-5,1.201273772,0.045550841,0.22781536,0.019230769,0.238095238
3.70748E-5,1.300756284,0.050251968,0.225029845,0.019230769,0.238095238
3.99722E-5,1.401046116,0.05407113,0.222443295,0.019230769,0.238095238
4.26853E-5,1.500574236,0.057633417,0.22005571,0.019230769,0.238095238
4.7804E-5,1.751033287,0.064317697,0.214584162,0.019230769,0.238095238
5.3644E-5,2.001939869,0.071886058,0.209709511,0.019230769,0.238095238
5.93544E-5,2.251685337,0.079227239,0.205332272,0.019230769,0.238095238
6.32902E-5,2.502155802,0.08425329,0.201253482,0.019230769,0.238095238
6.7264E-5,2.750647204,0.089299927,0.19747314,0.019230769,0.238095238
7.07839E-5,3.005611246,0.093746933,0.19379228,0.019230769,0.238095238
7.42017E-5,3.252483695,0.098044101,0.190409869,0.019230769,0.238095238
7.75076E-5,3.502898191,0.10218124,0.18712694,0.019230769,0.238095238
8.2011E-5,3.750354313,0.10778639,0.184042977,0.019230769,0.238095238
8.54704E-5,4.002335705,0.112068482,0.181058496,0.019230769,0.238095238
8.99101E-5,4.256630127,0.117533826,0.178173498,0.019230769,0.238095238
9.47629E-5,4.505553344,0.123469127,0.175487465,0.019230769,0.238095238
9.92377E-5,4.758519541,0.128906842,0.172900915,0.019230769,0.238095238
1.05505E-4,5.003546625,0.13646558,0.170513331,0.019230769,0.238095238
1.0947E-4,5.260760893,0.141214969,0.168125746,0.019230769,0.238095238
1.13773E-4,5.5060304,0.146337532,0.165937127,0.019230769,0.238095238
1.1988E-4,5.752868222,0.153557818,0.16384799,0.019230769,0.238095238
1.25415E-4,6.010900663,0.160048011,0.161758854,0.019230769,0.238095238
1.30462E-4,6.254107137,0.165922628,0.159868683,0.019230769,0.238095238
1.34124E-4,6.5054015,0.170159114,0.157978512,0.019230769,0.238095238
1.39035E-4,6.750717532,0.175807115,0.156187823,0.019230769,0.238095238
1.41609E-4,7.003622242,0.178752628,0.154397135,0.019230769,0.238095238
1.47464E-4,7.264076306,0.185412031,0.152606446,0.019230769,0.238095238
1.50512E-4,7.502093606,0.188857377,0.151014723,0.019230769,0.238095238
1.54947E-4,7.763277508,0.193845196,0.149323518,0.019230769,0.238095238
1.59461E-4,8.014884758,0.198889874,0.147731795,0.019230769,0.238095238
1.6221E-4,8.256492601,0.201946525,0.146239554,0.019230769,0.238095238
1.66388E-4,8.503577173,0.206569462,0.144747314,0.019230769,0.238095238
1.69954E-4,8.755816192,0.21049486,0.143255074,0.019230769,0.238095238
1.72668E-4,9.01312764,0.213468646,0.141762833,0.019230769,0.238095238
1.76372E-4,9.257311665,0.217509663,0.140370076,0.019230769,0.238095238
1.80937E-4,9.50749867,0.222461575,0.138977318,0.019230769,0.238095238
1.84104E-4,9.763567249,0.225878526,0.13758456,0.019230769,0.238095238
1.88449E-4,10.005312618,0.230542243,0.136291285,0.019230769,0.238095238
1.93027E-4,10.253549324,0.23542499,0.13499801,0.019230769,0.238095238
1.9523E-4,10.505833126,0.23776451,0.133704735,0.019230769,0.238095238
1.97485E-4,10.761599286,0.240150776,0.13241146,0.019230769,0.238095238
2.00106E-4,11.0002184,0.242915162,0.131217668,0.057692308,0.238095238
2.03579E-4,11.26346663,0.246562902,0.129924393,0.057692308,0.238095238
2.06347E-4,11.50991838,0.249457879,0.128730601,0.057692308,0.238095238
2.08692E-4,11.759366487,0.251901798,0.127536809,0.057692308,0.238095238
2.11653E-4,12.012227973,0.254975867,0.126343016,0.076923077,0.238095238
2.15151E-4,12.26858641,0.258590629,0.125149224,0.076923077,0.238095238
2.18218E-4,12.506659327,0.261746227,0.124054914,0.076923077,0.238095238
2.20994E-4,12.770347682,0.264591184,0.122861122,0.076923077,0.238095238
2.24838E-4,13.016076015,0.268511522,0.121766813,0.076923077,0.238095238
2.28013E-4,13.265134705,0.271734552,0.120672503,0.076923077,0.238095238
2.30574E-4,13.51696293,0.274323146,0.119578193,0.076923077,0.238095238
2.33964E-4,13.772199029,0.277736937,0.118483884,0.076923077,0.238095238
2.35876E-4,14.007356621,0.279654706,0.117489057,0.076923077,0.238095238
2.38209E-4,14.268503623,0.281987347,0.116394747,0.076923077,0.238095238
2.40889E-4,14.508205076,0.284659121,0.11539992,0.076923077,0.238095238
2.44646E-4,14.75161329,0.288386782,0.114405094,0.076923077,0.238095238
2.47582E-4,15.022846896,0.291285967,0.113310784,0.076923077,0.238095238
2.50415E-4,15.2718543,0.294072692,0.112315957,0.076923077,0.238095238
2.52083E-4,15.52315721,0.295708313,0.11132113,0.076923077,0.238095238
2.57484E-4,15.753048101,0.300978359,0.110425786,0.076923077,0.238095238
