X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,0.0012872506629350942,65.56207813867307,0.8330620901580377
3.0,3.0,train,0.0013144330176661637,66.30494195669908,0.8392548132794031
4.0,4.0,train,0.0016258605576787487,73.34934539672899,0.8957565208428655
5.0,5.0,train,8.845755841202249E-4,52.29435680860929,0.7077505445218637
6.0,6.0,train,0.001082404545687633,59.46870666910002,0.778040685976191
7.0,7.0,train,5.115032643773839E-4,36.48693159958487,0.5090088844910314
9.0,9.0,train,7.990499518490905E-4,49.82002421190442,0.67083960104048
10.0,10.0,train,9.828796108322913E-4,54.74902846059292,0.745092724736141
12.0,12.0,train,0.0012067807299548589,62.44286433909523,0.8132952306254276
13.0,13.0,train,0.0011317272613335103,61.01322485344391,0.7927547731032485
15.0,15.0,train,0.0025144898979769714,88.25790039560479,0.9697061611518504
16.0,16.0,train,0.0019809378204521458,82.71639361860346,0.936379477872841
17.0,17.0,train,0.0018955169818844905,80.02397851249631,0.9283546831933706
18.0,18.0,train,0.0013078278683916838,66.08334380863687,0.8377714790723083
19.0,19.0,train,0.0019497068867386626,81.18055818116586,0.9335554455143017
20.0,20.0,train,6.737417853042077E-4,44.80957570668206,0.6081783584692495
21.0,21.0,train,6.30586701432657E-4,42.75912307586108,0.5839435418959692
22.0,22.0,train,2.103556026602533E-4,11.901433707798788,0.25363012657030215
23.0,23.0,train,0.0010762927106326694,59.2532325699554,0.7761461004873611
24.0,24.0,train,0.0010855148402332208,59.57842180907658,0.778998669948706
25.0,25.0,train,0.001227007334986667,63.28759916776281,0.8184737662845556
26.0,26.0,train,0.0019508963980908655,81.56552205664343,0.9336652679527494
27.0,27.0,train,0.0028818881496511864,92.86165688059705,0.9818255496536238
28.0,28.0,train,8.48260224419409E-4,50.89183229761989,0.6926121806618282
29.0,29.0,train,6.70496804261065E-4,44.509084634081184,0.6064061976794887
30.0,30.0,train,0.0039617440992371555,98.10460876012587,0.995951688673278
31.0,31.0,train,0.004233697507770973,98.94687251444364,0.9972265168491212
35.0,35.0,train,8.958527273825636E-4,52.601774052576026,0.7122980586290433
36.0,36.0,train,0.002654156530845758,89.81947434906019,0.9750539628992799
37.0,37.0,train,0.0026051506937866988,89.29200786805369,0.9732946041679912
39.0,39.0,train,0.003013068973813021,93.45146323478893,0.9848562438306466
41.0,41.0,train,3.3064444744288815E-5,1.1841961546705542,0.044940405218401924
43.0,43.0,train,0.0019565402752074077,81.98337061345777,0.9341838739883108
44.0,44.0,train,0.002136175481232398,85.42822415571544,0.9487327244254307
47.0,47.0,train,0.002212965128516713,86.08718677635649,0.9539252979464048
50.0,50.0,train,0.0024668754436809283,87.75589886186607,0.9676323305697779
51.0,51.0,train,0.00239743198049758,87.02272547351227,0.9643505898423578
52.0,52.0,train,0.0025052083020557754,88.00644307241595,0.9693126064692682
54.0,54.0,train,0.001686027527498143,74.84295189025636,0.9041238493217215
56.0,56.0,train,0.0014508850170516447,69.80638334061771,0.8670382466619106
57.0,57.0,train,0.001500952823720093,70.84230347745702,0.8759810948591998
58.0,58.0,train,9.202868482186175E-4,53.2870559397624,0.7219098441167351
59.0,59.0,train,1.9938947858656798E-4,10.93498539548448,0.2421606061742474
60.0,60.0,train,1.9872676526725742E-4,10.874651147071704,0.24146185062141623
62.0,62.0,train,3.4598719282277263E-4,23.840512780434228,0.38192902456052236
63.0,63.0,train,3.7381467174554903E-4,27.143011095952343,0.40539065857578904
65.0,65.0,train,3.36991805859308E-4,23.01198307119209,0.37414866435164484
67.0,67.0,train,3.6544712193334935E-4,26.04603301357819,0.3984311021069027
68.0,68.0,train,3.5896601068749706E-4,25.451109931984607,0.3929846243494389
69.0,69.0,train,0.0030753544321007933,93.75919542056407,0.9861127637923923
72.0,72.0,train,0.001018958798220916,56.42083156193387,0.7575668940432371
73.0,73.0,train,0.0014319336376242267,69.03603504033526,0.8634874541067609
11.0,11.0,test,0.0010008684440124074,55.696996392657745,0.7513904912767273
8.0,8.0,test,6.771476288564548E-4,44.89527780641176,0.610029788410463
1.0,1.0,test,6.288723355644552E-4,42.70881684554756,0.5829504353612498
45.0,45.0,test,0.0021689599698963458,85.60013316725967,0.9510176302206499
46.0,46.0,test,0.0020618888251294747,84.17903523960199,0.9431531713485627
38.0,38.0,test,0.001876907632023528,79.59497142541969,0.9264763483560678
14.0,14.0,test,0.0023455740075047312,86.5301936397005,0.9616846873397629
53.0,53.0,test,2.308774913857114E-5,0.8412391797598886,0.031597337697021666
66.0,66.0,test,3.8223547197552597E-4,28.229781597999043,0.4123132217104928
64.0,64.0,test,8.576786308911839E-6,0.30233623247156083,0.011856579317967908
42.0,42.0,test,3.274273135789449E-5,1.1722461050857946,0.04451302047621242
70.0,70.0,test,0.0026134176654544023,89.42957555539374,0.9735998668143601
33.0,33.0,test,0.0011208805639616203,60.89794215900365,0.7896049663748541
48.0,48.0,test,0.002301066237515817,86.44124981079823,0.9592382156569047
71.0,71.0,test,8.594121718742958E-4,51.08715686647425,0.6973425638595109
32.0,32.0,test,0.0025364596628336907,88.42291314836615,0.9706177194755354
49.0,49.0,test,0.0023897695008248026,86.96095754396778,0.9639686808353377
34.0,34.0,test,0.0012973671193522586,65.74940614806997,0.8353942282742914
40.0,40.0,test,3.2515457944617126E-5,1.1638040300189116,0.04421098059104822
61.0,61.0,test,2.4206928071344684E-5,0.8814647554746455,0.03310338922780598
55.0,55.0,test,0.0014217408697562402,68.77089455862871,0.8615386481815214
