x,y,species cloglog values
1.0,1.0,7.6703465E-5
2.0,2.0,5.893771E-4
3.0,3.0,0.0018217466
4.0,4.0,0.0924327
5.0,5.0,0.002896996
6.0,6.0,7.641064E-6
7.0,7.0,0.06113473
8.0,8.0,0.5710407
9.0,9.0,0.46103957
10.0,10.0,0.002996252
11.0,11.0,0.0010776502
12.0,12.0,0.0011679403
13.0,13.0,0.8197817
14.0,14.0,0.12769191
15.0,15.0,3.3879528E-6
16.0,16.0,0.020625645
17.0,17.0,7.863744E-6
18.0,18.0,0.008083542
19.0,19.0,7.10301E-7
20.0,20.0,9.647204E-6
21.0,21.0,3.3806253E-5
22.0,22.0,2.583982E-6
23.0,23.0,0.040513754
24.0,24.0,0.10370056
25.0,25.0,0.504521
26.0,26.0,2.5803174E-6
27.0,27.0,0.5556457
28.0,28.0,0.81030214
29.0,29.0,1.4283921E-5
30.0,30.0,0.007964642
31.0,31.0,1.3135791E-4
32.0,32.0,1.16678195E-4
33.0,33.0,7.3368254E-5
34.0,34.0,1.5652186E-4
35.0,35.0,9.033531E-6
36.0,36.0,0.3612749
37.0,37.0,0.79797345
38.0,38.0,2.2000157E-5
39.0,39.0,1.1237173E-6
40.0,40.0,0.1983719
41.0,41.0,1.4559855E-4
42.0,42.0,0.012374732
43.0,43.0,0.7697096
44.0,44.0,1.0864545E-4
45.0,45.0,0.001348174
46.0,46.0,0.6970266
47.0,47.0,0.3133586
48.0,48.0,1.7974622E-6
49.0,49.0,0.08070058
50.0,50.0,3.5230588E-7
51.0,51.0,7.779602E-6
52.0,52.0,5.951502E-4
53.0,53.0,4.506763E-4
54.0,54.0,0.02241544
55.0,55.0,2.3953466E-5
56.0,56.0,0.004300432
57.0,57.0,8.8539326E-7
58.0,58.0,0.0027316783
59.0,59.0,2.3731376E-5
60.0,60.0,0.073211744
61.0,61.0,0.500208
62.0,62.0,0.19008885
63.0,63.0,0.0010173185
64.0,64.0,0.1478389
65.0,65.0,0.6238758
66.0,66.0,0.32247338
67.0,67.0,0.22162035
68.0,68.0,2.2144636E-4
69.0,69.0,0.0032454012
70.0,70.0,0.0011201133
71.0,71.0,1.16726245E-4
72.0,72.0,2.3196364E-5
73.0,73.0,7.511056E-5
74.0,74.0,0.5667415
75.0,75.0,2.1236594E-6
76.0,76.0,0.0060301046
77.0,77.0,0.17934039
78.0,78.0,0.5462056
79.0,79.0,0.34032893
80.0,80.0,9.792264E-5
81.0,81.0,1.3332612E-5
82.0,82.0,3.0690237E-6
83.0,83.0,0.27987093
84.0,84.0,3.3991757E-5
85.0,85.0,6.136712E-5
86.0,86.0,0.69561774
87.0,87.0,1.4095959E-6
88.0,88.0,1.0486948E-5
89.0,89.0,0.06861226
90.0,90.0,2.3030354E-6
91.0,91.0,0.09774939
92.0,92.0,0.663071
93.0,93.0,0.008892146
94.0,94.0,0.2849608
95.0,95.0,1.07484E-6
96.0,96.0,1.1330902E-5
97.0,97.0,5.5945196E-7
98.0,98.0,1.2394694E-5
99.0,99.0,0.5999722
