x,y,species cloglog values
1.0,1.0,1.1314335E-4
2.0,2.0,0.12887262
3.0,3.0,7.780647E-5
4.0,4.0,0.020959143
5.0,5.0,2.0506351E-4
6.0,6.0,2.2686171E-4
7.0,7.0,7.739683E-5
8.0,8.0,0.03630017
9.0,9.0,2.9498982E-4
10.0,10.0,9.0017096E-7
11.0,11.0,4.391727E-5
12.0,12.0,2.9799492E-5
13.0,13.0,7.354075E-5
14.0,14.0,0.029645698
15.0,15.0,0.15993805
16.0,16.0,3.7368423E-5
17.0,17.0,1.624246E-4
18.0,18.0,4.983105E-5
19.0,19.0,2.2751952E-5
20.0,20.0,4.5114452E-6
21.0,21.0,0.0032228301
22.0,22.0,0.0048550544
23.0,23.0,9.3465176E-5
24.0,24.0,7.860317E-5
25.0,25.0,1.16990734E-4
26.0,26.0,0.0067660077
27.0,27.0,1.0568447E-4
28.0,28.0,5.1215826E-5
29.0,29.0,3.7463466E-5
30.0,30.0,0.09524777
31.0,31.0,1.7947455E-4
32.0,32.0,0.07633094
33.0,33.0,1.1564236E-4
34.0,34.0,0.037557274
35.0,35.0,0.0019432483
36.0,36.0,4.4812292E-5
37.0,37.0,0.013927631
38.0,38.0,0.0023450477
39.0,39.0,0.58433133
40.0,40.0,0.002507531
41.0,41.0,0.0020416358
42.0,42.0,1.1876012E-5
43.0,43.0,4.0877178E-5
44.0,44.0,0.00133185
45.0,45.0,2.787172E-5
46.0,46.0,7.9622515E-4
47.0,47.0,2.8631335E-5
48.0,48.0,1.2984365E-4
49.0,49.0,1.0988184E-5
50.0,50.0,0.0039738314
51.0,51.0,2.928889E-4
52.0,52.0,2.6653759E-6
53.0,53.0,0.116305806
54.0,54.0,1.4804989E-5
55.0,55.0,0.001064827
56.0,56.0,2.6500618E-4
57.0,57.0,0.6341427
58.0,58.0,5.115228E-5
59.0,59.0,1.3126432E-5
60.0,60.0,4.037872E-5
61.0,61.0,2.0680972E-4
62.0,62.0,5.9090246E-7
63.0,63.0,0.031681072
64.0,64.0,3.0381629E-5
65.0,65.0,8.5450365E-4
66.0,66.0,4.5574725E-5
67.0,67.0,2.99618E-4
68.0,68.0,0.005030531
69.0,69.0,3.3705797E-5
70.0,70.0,9.193776E-5
71.0,71.0,6.0202132E-5
72.0,72.0,8.4980123E-4
73.0,73.0,0.007905816
74.0,74.0,0.99621713
75.0,75.0,3.2330156E-4
76.0,76.0,2.1008273E-5
77.0,77.0,4.339897E-5
78.0,78.0,1.8482435E-5
79.0,79.0,3.4376004E-5
80.0,80.0,0.6196986
81.0,81.0,7.1508955E-4
82.0,82.0,1.1917238E-5
83.0,83.0,4.15711E-5
84.0,84.0,1.5144422E-5
85.0,85.0,0.017758513
86.0,86.0,9.53691E-5
87.0,87.0,1.1601142E-4
88.0,88.0,1.5494769E-4
89.0,89.0,7.2859904E-5
90.0,90.0,9.652973E-5
91.0,91.0,4.2285532E-4
92.0,92.0,3.521604E-4
93.0,93.0,0.03306001
94.0,94.0,1.9763337E-4
95.0,95.0,0.0028761493
96.0,96.0,0.010377643
97.0,97.0,1.5674384E-4
98.0,98.0,5.8270303E-5
99.0,99.0,0.0019513349
100.0,100.0,3.8817372E-5
101.0,101.0,2.6268302E-4
102.0,102.0,1.7725714E-4
103.0,103.0,1.1713711E-4
104.0,104.0,9.618744E-5
105.0,105.0,3.715281E-4
106.0,106.0,2.4059863E-4
107.0,107.0,0.0023435936
108.0,108.0,0.0024764768
109.0,109.0,0.028349256
110.0,110.0,2.226592E-5
111.0,111.0,2.1775182E-4
112.0,112.0,0.38745716
113.0,113.0,7.429694E-5
114.0,114.0,0.0010118849
115.0,115.0,1.0864041E-5
116.0,116.0,1.962946E-5
117.0,117.0,2.1655759E-4
118.0,118.0,7.488787E-4
119.0,119.0,2.994503E-4
120.0,120.0,4.4365588E-5
121.0,121.0,0.077474274
122.0,122.0,7.307232E-5
123.0,123.0,0.80144596
124.0,124.0,4.021092E-4
125.0,125.0,6.155243E-5
126.0,126.0,0.6439545
127.0,127.0,0.115517676
128.0,128.0,0.90930843
129.0,129.0,0.010123941
130.0,130.0,0.3503514
131.0,131.0,0.006870917
132.0,132.0,0.0017462469
133.0,133.0,0.05313541
134.0,134.0,7.7030563E-4
135.0,135.0,0.1660738
136.0,136.0,0.0020631757
137.0,137.0,0.041305915
138.0,138.0,3.1909818E-4
139.0,139.0,2.01482E-4
140.0,140.0,2.5349486E-4
141.0,141.0,9.292597E-5
142.0,142.0,2.3536728E-5
143.0,143.0,0.05824753
144.0,144.0,0.06305465
145.0,145.0,4.5787667E-5
146.0,146.0,2.7459526E-5
147.0,147.0,0.12986293
148.0,148.0,8.64841E-5
149.0,149.0,0.011915789
150.0,150.0,1.9066231E-6
151.0,151.0,0.008132021
152.0,152.0,0.43895873
153.0,153.0,2.3336516E-4
154.0,154.0,2.0746173E-5
155.0,155.0,1.7251875E-4
156.0,156.0,3.1876243E-5
157.0,157.0,0.0031913025
158.0,158.0,0.014699087
159.0,159.0,4.314206E-5
160.0,160.0,1.4247376E-4
161.0,161.0,2.1624575E-4
162.0,162.0,6.9870315E-5
163.0,163.0,0.019840116
164.0,164.0,4.345676E-5
165.0,165.0,3.340473E-4
166.0,166.0,7.066757E-4
167.0,167.0,0.0048405137
168.0,168.0,7.700318E-5
169.0,169.0,3.1419087E-5
170.0,170.0,0.006889422
171.0,171.0,0.14874989
172.0,172.0,2.8916164E-5
173.0,173.0,0.37226298
174.0,174.0,2.3677443E-4
175.0,175.0,3.12948E-4
176.0,176.0,0.27353838
177.0,177.0,0.97262514
178.0,178.0,1.1623393E-4
179.0,179.0,0.003366758
180.0,180.0,6.894307E-5
181.0,181.0,3.6316426E-4
182.0,182.0,0.06324673
183.0,183.0,2.3836401E-4
184.0,184.0,6.965672E-5
185.0,185.0,1.8637917E-4
186.0,186.0,1.9327254E-5
187.0,187.0,0.02025375
188.0,188.0,0.008196141
189.0,189.0,4.7653823E-4
190.0,190.0,0.07012648
191.0,191.0,2.2530665E-5
192.0,192.0,0.0010167623
193.0,193.0,8.613133E-7
194.0,194.0,2.6282304E-4
195.0,195.0,3.7819427E-5
196.0,196.0,3.3396593E-4
197.0,197.0,8.7160166E-5
198.0,198.0,0.36421105
199.0,199.0,0.08100915
200.0,200.0,6.3263935E-5
201.0,201.0,1.4559642E-4
202.0,202.0,0.30886292
203.0,203.0,2.6226615E-5
204.0,204.0,0.005798893
205.0,205.0,0.2262872
206.0,206.0,1.3380538E-4
207.0,207.0,0.017944727
208.0,208.0,0.0024129846
209.0,209.0,1.7316706E-4
210.0,210.0,1.8724811E-4
211.0,211.0,2.7730197E-4
212.0,212.0,2.9631314E-5
213.0,213.0,1.13093345E-4
214.0,214.0,3.075477E-5
215.0,215.0,4.9563692E-5
216.0,216.0,8.363882E-4
217.0,217.0,1.0980535E-4
218.0,218.0,0.0013912539
219.0,219.0,6.371086E-5
220.0,220.0,0.21759571
221.0,221.0,3.656503E-5
222.0,222.0,0.20967294
223.0,223.0,3.0217489E-5
224.0,224.0,2.1701715E-4
225.0,225.0,5.8266804E-5
226.0,226.0,3.5423366E-4
227.0,227.0,1.5281257E-4
228.0,228.0,2.4155011E-4
229.0,229.0,3.7343532E-4
230.0,230.0,0.09508447
231.0,231.0,2.0201517E-4
232.0,232.0,0.024846848
233.0,233.0,1.267336E-4
234.0,234.0,0.029753437
235.0,235.0,0.54933095
236.0,236.0,0.871878
237.0,237.0,6.980555E-5
238.0,238.0,0.0015582832
239.0,239.0,1.1699772E-5
240.0,240.0,7.825921E-6
241.0,241.0,7.0629685E-5
242.0,242.0,0.041781165
243.0,243.0,0.0032586684
244.0,244.0,0.022060184
245.0,245.0,0.004837549
246.0,246.0,3.4021254E-5
247.0,247.0,0.003896415
248.0,248.0,0.004152596
249.0,249.0,2.2868953E-4
250.0,250.0,2.9224428E-5
251.0,251.0,0.06963857
252.0,252.0,2.8385915E-4
253.0,253.0,0.012137002
254.0,254.0,0.04942528
255.0,255.0,2.9154875E-5
256.0,256.0,7.2470684E-5
257.0,257.0,3.95539E-5
258.0,258.0,0.00125254
259.0,259.0,6.507632E-4
260.0,260.0,9.921744E-5
261.0,261.0,0.011766103
262.0,262.0,8.016178E-5
263.0,263.0,2.1200929E-5
264.0,264.0,0.014145095
265.0,265.0,1.8289841E-4
266.0,266.0,5.9729056E-5
267.0,267.0,0.29948506
268.0,268.0,2.4216078E-4
269.0,269.0,3.0327119E-5
270.0,270.0,1.9043089E-4
271.0,271.0,2.7326096E-4
272.0,272.0,6.0072925E-4
273.0,273.0,0.019963471
274.0,274.0,3.1092257E-4
275.0,275.0,7.954954E-6
276.0,276.0,0.0070419093
277.0,277.0,7.537349E-5
278.0,278.0,3.1604618E-4
279.0,279.0,0.06295615
280.0,280.0,1.4639199E-5
281.0,281.0,9.286871E-5
282.0,282.0,0.0035902022
283.0,283.0,0.05131971
284.0,284.0,0.078074075
285.0,285.0,3.890693E-4
286.0,286.0,8.372572E-5
287.0,287.0,0.023893978
288.0,288.0,3.6259243E-4
289.0,289.0,8.651552E-5
290.0,290.0,1.6692943E-4
291.0,291.0,0.06203369
292.0,292.0,2.8488366E-5
293.0,293.0,8.3794614E-4
294.0,294.0,0.0039502154
295.0,295.0,1.7624283E-5
296.0,296.0,9.739458E-5
297.0,297.0,0.009290941
298.0,298.0,6.560993E-5
299.0,299.0,0.341782
300.0,300.0,2.9664327E-4
301.0,301.0,4.518144E-4
302.0,302.0,0.002247099
303.0,303.0,0.02045041
304.0,304.0,9.528205E-4
305.0,305.0,1.02781385E-4
306.0,306.0,1.3007635E-5
307.0,307.0,9.928215E-6
308.0,308.0,1.0269485E-4
309.0,309.0,0.11340655
310.0,310.0,0.0027588198
311.0,311.0,0.40183985
312.0,312.0,7.11054E-5
313.0,313.0,2.6017404E-4
314.0,314.0,8.8264974E-4
315.0,315.0,0.7831284
316.0,316.0,0.1860337
317.0,317.0,0.012918739
318.0,318.0,8.98687E-5
319.0,319.0,0.013725356
320.0,320.0,9.297255E-4
321.0,321.0,0.6482652
322.0,322.0,1.4190863E-4
323.0,323.0,1.4013078E-4
324.0,324.0,1.762833E-5
325.0,325.0,0.0044279154
326.0,326.0,5.1713687E-5
327.0,327.0,0.02043738
328.0,328.0,1.11002126E-4
329.0,329.0,0.86331767
330.0,330.0,0.10654201
331.0,331.0,5.288516E-5
332.0,332.0,1.9448802E-4
333.0,333.0,7.081408E-5
334.0,334.0,7.1194506E-4
335.0,335.0,1.9121123E-4
336.0,336.0,0.004250738
337.0,337.0,3.3007167E-5
338.0,338.0,0.0010938928
339.0,339.0,9.0052636E-4
340.0,340.0,0.002623833
341.0,341.0,2.3276392E-5
342.0,342.0,1.714139E-5
343.0,343.0,0.19076605
344.0,344.0,1.3385956E-4
345.0,345.0,7.7418015E-5
346.0,346.0,0.0016251706
347.0,347.0,1.7039129E-4
348.0,348.0,1.9238309E-5
349.0,349.0,6.918134E-5
350.0,350.0,0.11548762
351.0,351.0,4.1228576E-4
352.0,352.0,0.051813886
353.0,353.0,1.670555E-4
354.0,354.0,0.15288636
355.0,355.0,0.38421062
356.0,356.0,1.1804159E-5
357.0,357.0,0.49549073
358.0,358.0,0.018421687
359.0,359.0,0.29056573
360.0,360.0,3.8318362E-4
361.0,361.0,8.8971436E-5
362.0,362.0,6.7153174E-5
363.0,363.0,4.7458274E-5
364.0,364.0,7.788445E-5
365.0,365.0,1.752274E-4
366.0,366.0,1.1045758E-4
367.0,367.0,0.032143205
368.0,368.0,0.008490393
369.0,369.0,0.0067437165
370.0,370.0,2.2074034E-4
371.0,371.0,9.752991E-4
372.0,372.0,7.404857E-5
373.0,373.0,2.5632055E-4
374.0,374.0,2.8306205E-4
375.0,375.0,2.6849386E-5
376.0,376.0,6.308659E-5
377.0,377.0,0.42199132
378.0,378.0,2.7851478E-5
379.0,379.0,6.00245E-5
380.0,380.0,9.515374E-5
381.0,381.0,1.2004886E-5
382.0,382.0,0.011463455
383.0,383.0,0.53101647
384.0,384.0,9.902643E-5
385.0,385.0,0.88301677
386.0,386.0,1.5079857E-4
387.0,387.0,4.8649825E-5
388.0,388.0,4.9400333E-5
389.0,389.0,0.1005616
390.0,390.0,0.0028776766
391.0,391.0,5.4097956E-5
392.0,392.0,0.0027631186
393.0,393.0,4.8877747E-4
394.0,394.0,8.207664E-5
395.0,395.0,1.16591684E-4
396.0,396.0,3.4483324E-4
397.0,397.0,0.0014321926
398.0,398.0,1.2234245E-4
399.0,399.0,2.0561572E-4
400.0,400.0,0.0021071606
401.0,401.0,3.1103587E-4
402.0,402.0,0.014077208
