Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.95724E-10,0.00000005,0.000000444,1,0,0
5.12701E-10,0.00000015,0.000000459,0.999801035,0,0
5.4698E-10,0.000000258,0.000000489,0.999602069,0,0
6.67122E-10,0.000001048,0.000000597,0.998308794,0,0
8.21024E-10,0.000002566,0.000000735,0.99631914,0,0
2.03434E-9,0.000010123,0.00000182,0.99074811,0,0
5.52903E-9,0.000025393,0.000004948,0.98706725,0,0
8.88957E-9,0.000050275,0.000007955,0.983684839,0,0
1.21405E-8,0.000100581,0.000010864,0.97890967,0,0
1.60459E-8,0.000250851,0.000014359,0.968265022,0,0
2.02092E-8,0.000501574,0.000018084,0.954436928,0,0
2.51813E-8,0.001001493,0.000022534,0.932351771,0,0
3.68331E-8,0.002500209,0.00003296,0.883704735,0,0
5.26268E-8,0.005003881,0.000047093,0.827894946,0,0
8.16669E-8,0.01000215,0.000073078,0.753979308,0,0
1.68488E-7,0.025003469,0.000150763,0.631416634,0,0
3.04817E-7,0.050000734,0.000272734,0.521886192,0,0
7.9587E-7,0.100029195,0.000711945,0.417827298,0,0
2.41473E-6,0.200234046,0.002158528,0.346100279,0,0
4.20438E-6,0.300147423,0.003755299,0.31545961,0,0
5.8648E-6,0.400005815,0.005234474,0.295563072,0,0
7.54476E-6,0.500394394,0.006728821,0.280441703,0,0
9.19679E-6,0.600707893,0.00819614,0.26850378,0,0
1.12727E-5,0.701015413,0.010036852,0.258754477,0,0
1.21966E-5,0.750428299,0.010855034,0.254576204,0,0
1.31538E-5,0.800808032,0.011701909,0.250596896,0,0
1.44321E-5,0.900256535,0.012831824,0.243434142,0,0
1.60684E-5,1.000970919,0.014276214,0.236868285,0,0
1.78374E-5,1.101300308,0.015835407,0.230998806,0,0
2.00311E-5,1.20101762,0.017765505,0.225726224,0,0
2.16052E-5,1.300407166,0.019148113,0.220951055,0,0
2.28467E-5,1.400737946,0.020237211,0.216474333,0,0
2.43313E-5,1.502416252,0.021537934,0.212196578,0,0
2.88374E-5,1.751594275,0.025475547,0.202845205,0,0
3.32522E-5,2.00105789,0.029317948,0.194787107,0,0
3.65366E-5,2.250239763,0.032166749,0.187723836,0,0
4.11966E-5,2.503697985,0.036194238,0.181257461,0,0
4.4448E-5,2.751167369,0.038994402,0.175487465,0,0
4.95237E-5,3.003046722,0.043349522,0.1701154,0.019230769,0.095238095
5.44542E-5,3.251475086,0.047561094,0.165340231,0.019230769,0.095238095
5.7577E-5,3.503784244,0.050218944,0.16086351,0.019230769,0.095238095
6.09902E-5,3.753308471,0.053115495,0.156685237,0.019230769,0.095238095
6.46481E-5,4.006117353,0.056209928,0.152705929,0.019230769,0.142857143
6.78542E-5,4.250774408,0.058913767,0.14902507,0.019230769,0.142857143
7.17042E-5,4.501589225,0.062150452,0.145443693,0.019230769,0.142857143
7.59448E-5,4.753019654,0.065702661,0.142061281,0.019230769,0.142857143
7.91652E-5,5.001396644,0.068391274,0.138877835,0.019230769,0.142857143
8.23904E-5,5.251915117,0.071076134,0.135793872,0.019230769,0.142857143
8.50858E-5,5.502816723,0.073314023,0.132809391,0.019230769,0.19047619
8.87298E-5,5.755182247,0.076330934,0.129924393,0.019230769,0.19047619
9.2499E-5,6.008107021,0.079441194,0.127138878,0.019230769,0.19047619
9.56936E-5,6.253687728,0.082069032,0.124552328,0.019230769,0.19047619
1.00523E-4,6.508456451,0.086027155,0.121965778,0.019230769,0.19047619
1.05172E-4,6.756415038,0.089822149,0.119578193,0.038461538,0.19047619
1.09803E-4,7.004080405,0.093585952,0.117290092,0.038461538,0.19047619
1.14045E-4,7.250716453,0.097020688,0.115101472,0.038461538,0.19047619
1.18436E-4,7.506431192,0.100561598,0.112912853,0.038461538,0.19047619
1.22548E-4,7.760219445,0.103865187,0.110823717,0.038461538,0.19047619
1.26638E-4,8.009810975,0.107138609,0.108834063,0.038461538,0.19047619
1.32131E-4,8.255528068,0.111516851,0.106943892,0.038461538,0.19047619
1.3817E-4,8.512727061,0.116305809,0.105053721,0.038461538,0.19047619
1.43652E-4,8.75241905,0.120630279,0.103362515,0.038461538,0.19047619
1.48381E-4,9.001545666,0.124343409,0.101671309,0.038461538,0.19047619
1.53323E-4,9.257584827,0.128207264,0.099980103,0.038461538,0.19047619
1.57579E-4,9.505575649,0.131521113,0.09838838,0.038461538,0.19047619
1.61826E-4,9.762140622,0.134816115,0.096796657,0.057692308,0.238095238
1.64486E-4,10.007066099,0.136872885,0.095304417,0.057692308,0.238095238
1.67848E-4,10.25671776,0.139465461,0.093812177,0.057692308,0.238095238
1.7245E-4,10.512127573,0.14300252,0.092319936,0.057692308,0.238095238
1.76783E-4,10.756938003,0.14631887,0.090927179,0.057692308,0.238095238
1.80342E-4,11.007403021,0.149033641,0.089534421,0.057692308,0.238095238
1.83294E-4,11.261904465,0.151278487,0.088141663,0.057692308,0.238095238
1.87242E-4,11.503592959,0.154271782,0.086848388,0.057692308,0.238095238
1.91665E-4,11.76851527,0.157612555,0.085455631,0.057692308,0.238095238
1.96618E-4,12.001838816,0.161338039,0.084261838,0.057692308,0.238095238
1.99324E-4,12.259170656,0.163365976,0.082968563,0.057692308,0.238095238
2.02947E-4,12.500609402,0.166073795,0.081774771,0.057692308,0.238095238
2.06993E-4,12.767685935,0.169088076,0.080481496,0.057692308,0.238095238
2.14404E-4,13.000264751,0.174580191,0.079387187,0.057692308,0.238095238
2.21468E-4,13.26223898,0.179781754,0.078193394,0.057692308,0.238095238
2.25111E-4,13.507812007,0.182451467,0.077099085,0.057692308,0.238095238
2.31378E-4,13.75917466,0.187023332,0.076004775,0.057692308,0.285714286
2.37327E-4,14.017814685,0.191339759,0.074910466,0.057692308,0.285714286
2.45635E-4,14.260775323,0.197329385,0.073915639,0.057692308,0.285714286
2.51587E-4,14.50959588,0.201593379,0.072920812,0.057692308,0.285714286
2.62369E-4,14.768327817,0.209259388,0.071925985,0.076923077,0.285714286
2.73332E-4,15.008800822,0.216979377,0.071030641,0.076923077,0.285714286
2.82405E-4,15.258715152,0.223311236,0.070135296,0.076923077,0.285714286
2.91044E-4,15.517992963,0.229291952,0.069239952,0.076923077,0.285714286
2.9675E-4,15.753824332,0.233217503,0.068444091,0.076923077,0.285714286
3.05908E-4,16.025715722,0.239475836,0.067548747,0.076923077,0.285714286
3.13865E-4,16.27460196,0.244871488,0.066752885,0.076923077,0.285714286
3.21609E-4,16.530137518,0.250086564,0.065957023,0.076923077,0.285714286
3.31051E-4,16.758977295,0.256395941,0.065260645,0.096153846,0.285714286
3.3716E-4,17.026423115,0.260449918,0.064464783,0.096153846,0.285714286
3.493E-4,17.267672955,0.268441206,0.063768404,0.096153846,0.285714286
3.54221E-4,17.514271298,0.271655077,0.063072025,0.115384615,0.333333333
3.59995E-4,17.764962524,0.275409152,0.062375647,0.115384615,0.333333333
3.6616E-4,18.018834328,0.279395767,0.061679268,0.115384615,0.333333333
3.70427E-4,18.277025831,0.282141513,0.060982889,0.115384615,0.333333333
3.7867E-4,18.502757421,0.287417721,0.060385993,0.115384615,0.333333333
3.87648E-4,18.771979798,0.293119458,0.059689614,0.115384615,0.333333333
3.93814E-4,19.007088577,0.297008923,0.059092718,0.115384615,0.333333333
3.98431E-4,19.285085122,0.299907577,0.058396339,0.115384615,0.333333333
4.11038E-4,19.528751642,0.307761301,0.057799443,0.115384615,0.333333333
4.13473E-4,19.776310634,0.309268071,0.057202547,0.115384615,0.333333333
4.17773E-4,20.026091605,0.311921281,0.056605651,0.115384615,0.333333333
4.21455E-4,20.278422396,0.314184144,0.056008754,0.115384615,0.333333333
4.27187E-4,20.533391836,0.317693405,0.055411858,0.115384615,0.333333333
4.33703E-4,20.792300393,0.321660132,0.054814962,0.115384615,0.333333333
4.38055E-4,21.010256476,0.324296697,0.054317549,0.134615385,0.333333333
