X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,0.0020913105865556416,62.70317030804544,0.8460991216788738
3.0,3.0,train,0.0024004867360876607,66.84682469606378,0.8832964494841632
4.0,4.0,train,0.0028838663973898226,73.2022353271828,0.9242774454373367
5.0,5.0,train,0.0015228350822353647,52.751679414929896,0.7440405126903835
6.0,6.0,train,0.004954976055421716,86.61530136527664,0.9881336496563662
7.0,7.0,train,2.5812340910937037E-4,14.666447836027809,0.20624968395998033
9.0,9.0,train,9.159418567522497E-4,37.715144204206126,0.5594127955639308
10.0,10.0,train,9.478558940733943E-4,39.34883494637938,0.5718174822863339
12.0,12.0,train,9.926070848201996E-4,40.64188066952826,0.5886258472353674
13.0,13.0,train,0.001030118833528883,41.53572567409059,0.6022056786384278
15.0,15.0,train,0.00673630360518094,95.41595397777728,0.9975899343119928
16.0,16.0,train,0.005988751863425704,92.14804207345024,0.9952950554112231
17.0,17.0,train,0.005720197004852702,90.9710603392159,0.9940169223374611
18.0,18.0,train,0.0047408335116372775,84.67637040352214,0.9856272225544935
19.0,19.0,train,0.005500488551557563,88.7067624209461,0.9927169835932897
20.0,20.0,train,3.5283962323122094E-4,17.445048533878968,0.2707544861680221
21.0,21.0,train,3.290218580453259E-4,16.709798265937412,0.2550447060804363
22.0,22.0,train,1.0488580684791535E-4,6.741150669404607,0.08958881747641256
23.0,23.0,train,0.0012304751945447522,46.79489531590902,0.6674990781445312
24.0,24.0,train,0.001284938478379243,47.34642935383558,0.6833157588067326
25.0,25.0,train,0.0039034747949672076,80.38574075168204,0.9695933502644173
26.0,26.0,train,0.003429551042396713,77.85018588388722,0.9535321610497969
27.0,27.0,train,0.003537686250006583,79.24747787522108,0.9578179944611088
28.0,28.0,train,0.0027335350319295866,70.67812088456034,0.9133737607798394
29.0,29.0,train,4.3370297960402225E-4,20.792299582580547,0.321660132325708
30.0,30.0,train,0.004889252577597738,86.11985292590686,0.9874148126245628
31.0,31.0,train,0.005147911750151389,87.63266287598155,0.9900152917342381
35.0,35.0,train,0.0010634714898719914,42.3772133236463,0.6139029075937008
36.0,36.0,train,0.0021455267774992495,62.91770791331859,0.8533875920949814
37.0,37.0,train,0.0020034000054046422,61.269332975581264,0.8335030322705305
39.0,39.0,train,0.0028132956473951487,72.34810830814858,0.9193412287648615
41.0,41.0,train,4.6074968781450704E-5,2.831904970517624,0.04039257126107143
43.0,43.0,train,9.533244664473976E-4,39.55634411969415,0.5739077387451083
44.0,44.0,train,0.006639915257916705,94.07219255143343,0.9973728257653167
47.0,47.0,train,0.007520077783771625,97.60583437223548,0.9988048404173656
50.0,50.0,train,0.007529995386007358,98.3584887936847,0.9988154004613583
51.0,51.0,train,0.007641476222239527,99.0171479412009,0.9989278733886492
52.0,52.0,train,0.007184348960878084,96.64499436963206,0.9983860047353009
54.0,54.0,train,0.002805960729931625,72.06697354802269,0.918810060882467
56.0,56.0,train,0.0013861273715081476,50.28523733124301,0.7107317352193678
57.0,57.0,train,0.0019358027908669812,60.282454548903004,0.8231206840972671
58.0,58.0,train,4.8605211576665077E-4,22.844463655376295,0.35270451842868666
59.0,59.0,train,0.0013820631356189234,50.00871882617248,0.7096777644210084
60.0,60.0,train,0.001386141642069896,50.292433627467275,0.7107354292285786
62.0,62.0,train,1.599295850039251E-4,9.647576538584707,0.1333463283294537
63.0,63.0,train,9.281110082503503E-4,38.33476203760083,0.5641846647028599
65.0,65.0,train,9.17272106009968E-4,37.78068317580032,0.5599369573156311
67.0,67.0,train,0.001654703505342572,55.39530871413954,0.7725309075363079
68.0,68.0,train,0.001958212991585402,60.565111983752864,0.8266325203206766
69.0,69.0,train,0.003112781334350915,75.89611803195471,0.9383034845447484
72.0,72.0,train,5.97926154652729E-4,27.05024280077686,0.414368701222821
73.0,73.0,train,0.0010832349251726817,43.0218961203729,0.6206712624814292
11.0,11.0,test,9.57182936092306E-4,39.69113441564926,0.5753764217430879
8.0,8.0,test,2.2751218810599836E-4,13.604121088326917,0.1842059407326494
1.0,1.0,test,3.493457336900595E-4,17.269964735570603,0.26847088147364184
45.0,45.0,test,0.0071574570387417085,96.09125749773645,0.9983466932860533
46.0,46.0,test,0.006884943720163438,95.65429289385715,0.9978900995865962
38.0,38.0,test,0.0044657567711620955,83.68548500404202,0.981615769052947
14.0,14.0,test,0.006828862269142407,95.5643684484824,0.9977815112199734
53.0,53.0,test,8.456657594712359E-5,5.45448469482588,0.07288337000232537
66.0,66.0,test,9.286306643482764E-4,38.367426600779986,0.5643872819678175
64.0,64.0,test,1.6068996689499947E-4,9.693511871608766,0.1339358346781253
42.0,42.0,test,4.721838109919514E-5,2.888646297783951,0.04137394218964641
70.0,70.0,test,0.0030394929420248964,74.96162565486627,0.9341215829608809
33.0,33.0,test,0.001381619055610743,49.96814701202768,0.7095623694971633
48.0,48.0,test,0.007721705847520038,99.08701334539961,0.9990021484348443
71.0,71.0,test,6.208408023735362E-4,28.113050976009855,0.42625512556351985
32.0,32.0,test,0.007279006960184426,97.04903941697819,0.9985170901992989
49.0,49.0,test,0.007623788595491407,99.00173683243831,0.9989107686639983
34.0,34.0,test,0.0015938343865265733,54.253411036799115,0.7597970509378642
40.0,40.0,test,4.690480217639939E-5,2.873085083333091,0.0411049027703666
61.0,61.0,test,6.443207485713366E-5,3.991187181357273,0.05602744836731399
55.0,55.0,test,0.0026432889447182755,69.49967898897971,0.906087726893623
