longitude,latitude
147.324389,-43.060006
147.328889,-43.057917
147.32993,-43.006674
147.951026,-42.648611
147.951026,-42.648611
147.944151,-42.641471
147.917693,-42.631944
147.934428,-42.61536
147.934358,-42.615278
147.934358,-42.615278
147.876858,-42.558055
147.946389,-42.553333
147.912205,-42.548971
147.912205,-42.548971
148.296944,-42.126389
148.267679,-42.115272
148.284345,-42.115271
174.783333,-41.35
174.783333,-41.35
174.783333,-41.35
174.783333,-41.35
174.779222,-41.292127
174.779222,-41.292127
174.779222,-41.292127
174.779222,-41.292127
174.779222,-41.292127
174.779222,-41.292127
174.791159,-41.291943
174.791159,-41.291943
174.793889,-41.291389
174.779444,-41.286389
174.779444,-41.286389
174.779444,-41.286389
174.778979,-41.283124
174.778979,-41.283124
174.778979,-41.283124
174.778736,-41.274122
174.778736,-41.274122
174.778736,-41.274122
174.778736,-41.274122
174.778736,-41.274122
174.778736,-41.274122
176.916667,-39.483333
143.676389,-38.758333
143.677494,-38.758326
143.677682,-38.756899
145.026287,-38.474167
144.717252,-38.317301
144.508333,-38.091667
144.523017,-38.055917
144.558333,-38.038889
144.558333,-38.038889
144.558333,-38.038889
144.558333,-38.038889
144.558333,-38.038889
144.885,-37.861111
144.885,-37.861111
144.885,-37.861111
144.9313,-37.8447
174.896833,-36.879806
175.1375,-36.846667
175.1375,-36.844722
174.752778,-36.844444
174.752778,-36.844444
174.7975,-36.833889
174.75,-36.833333
174.75,-36.833333
174.708889,-36.832778
174.812806,-36.82925
174.778778,-36.82675
175.198889,-36.800278
175.314056,-36.189972
175.342778,-36.17
130.568425,31.593437
-116.676406,31.693611
-116.676406,31.693611
-116.683725,31.701947
-116.683725,31.701947
-116.683725,31.701947
-116.725692,31.731483
-116.742553,31.7463
-116.742553,31.7463
-116.742553,31.7463
-116.789944,31.7917
-116.789944,31.7917
-116.789944,31.7917
-116.789944,31.7917
-116.787339,31.801522
-116.787339,31.801522
-116.787339,31.801522
-116.787339,31.801522
-116.787339,31.801522
-116.788342,31.803586
-116.788342,31.803586
-116.788342,31.803586
-116.788342,31.803586
-116.788342,31.803586
-116.788006,31.804494
-116.788006,31.804494
-116.788006,31.804494
-116.788006,31.804494
-116.663347,31.861664
129.869475,32.75465
130.987657,34.172773
130.987657,34.172773
134.950556,34.252222
134.950556,34.252222
135.086667,34.305
135.086667,34.305
135.151,34.3217
135.151,34.3217
133.57,34.35
133.556,34.358
133.556,34.358
-119.691472,34.405348
-119.691472,34.405348
-119.690528,34.405561
-119.691129,34.405561
-119.691386,34.405561
-119.691129,34.405561
-119.691386,34.405561
-119.690528,34.405561
-119.691386,34.405632
-119.691043,34.405632
-119.691386,34.405632
-119.691043,34.405632
-119.691429,34.405667
-119.691429,34.405667
-119.691644,34.405702
-119.691129,34.405702
-119.690614,34.405702
-119.691129,34.405702
-119.691644,34.405702
-119.690614,34.405702
-119.691193,34.405738
-119.691193,34.405738
-119.690699,34.405773
-119.690957,34.405773
-119.690699,34.405773
-119.690957,34.405773
-119.690699,34.405773
-119.690699,34.405773
-119.691644,34.405782
-119.691644,34.405782
-119.691043,34.405844
-119.691386,34.405844
-119.691043,34.405844
-119.691386,34.405844
-119.691386,34.405915
